project_name,module,domain,diff_sim
08_pulsar,pulsar-transaction,Semantic Web,0.0012786065000000013
08_pulsar,pulsar-transaction,HTTP server,0.004616281750000062
08_pulsar,pulsar-transaction,word embedding,0.005867510500000006
08_pulsar,pulsar-transaction,security,0.00779227425000012
08_pulsar,pulsar-transaction,distributed multimedia communications platform,0.008570246249999969
08_pulsar,pulsar-transaction,static program analysis,0.009978501249999883
08_pulsar,pulsar-transaction,object detection,0.009980077499999962
08_pulsar,pulsar-transaction,digital security,0.013184137250000005
08_pulsar,pulsar-transaction,front end,0.014024837999999984
08_pulsar,pulsar-transaction,digital image processing,0.014146465249999907
08_pulsar,pulsar-transaction,telecommunications network,0.014558375499999887
08_pulsar,pulsar-transaction,penetration test,0.014643455500000069
08_pulsar,pulsar-transaction,face detection,0.015540633749999977
08_pulsar,pulsar-transaction,language model,0.015563419749999974
08_pulsar,pulsar-transaction,content management system,0.015636973750000005
08_pulsar,pulsar-transaction,web service,0.015934886000000037
08_pulsar,pulsar-transaction,digital audio,0.015984171749999998
08_pulsar,pulsar-transaction,streaming media,0.01710072524999995
08_pulsar,pulsar-transaction,image recognition,0.017387179249999885
08_pulsar,pulsar-transaction,cloud computing,0.017447271999999903
08_pulsar,pulsar-transaction,server,0.018034920999999926
08_pulsar,pulsar-transaction,graph database,0.02145439425000012
08_pulsar,pulsar-transaction,random forest,0.023056813999999926
08_pulsar,pulsar-transaction,object–relational mapping,0.024566955250000022
08_pulsar,pulsar-transaction,File Transfer Protocol,0.02520002099999996
08_pulsar,pulsar-transaction,distributed computing,0.02527527700000015
08_pulsar,pulsar-transaction,machine learning,0.025512236500000007
08_pulsar,pulsar-transaction,user interface,0.026248018250000116
08_pulsar,pulsar-transaction,data binding,0.026367240749999965
08_pulsar,pulsar-transaction,support vector machine,0.027534625499999965
08_pulsar,pulsar-transaction,data visualization,0.027919797000000024
08_pulsar,pulsar-transaction,algorithm,0.028173982999999958
08_pulsar,pulsar-transaction,game server,0.02824430675000017
08_pulsar,pulsar-transaction,web server,0.02833243274999997
08_pulsar,pulsar-transaction,file system,0.02974014700000005
08_pulsar,pulsar-transaction,signal processing,0.02984674325000003
08_pulsar,pulsar-transaction,data mining,0.03063133200000001
08_pulsar,pulsar-transaction,data analysis,0.03189901600000006
08_pulsar,pulsar-transaction,microservices,0.03437690199999999
08_pulsar,pulsar-transaction,recommender system,0.034650735500000085
08_pulsar,pulsar-transaction,distributed system,0.035290989249999904
08_pulsar,pulsar-transaction,audio signal processing,0.03561250349999978
08_pulsar,pulsar-transaction,smart contract,0.035671665250000095
08_pulsar,pulsar-transaction,facial recognition system,0.03789510074999991
08_pulsar,pulsar-transaction,data compression,0.038804220249999966
08_pulsar,pulsar-transaction,sorting algorithm,0.03964488124999993
08_pulsar,pulsar-transaction,search,0.04230513799999991
08_pulsar,pulsar-transaction,pattern matching,0.04431987200000004
08_pulsar,pulsar-transaction,information extraction,0.045307890250000094
08_pulsar,pulsar-transaction,command-line interface,0.04852552675000005
08_pulsar,pulsar-transaction,benchmark,0.050199081750000096
08_pulsar,pulsar-transaction,design,0.0515258527500001
08_pulsar,pulsar-transaction,instant messaging,0.05300638274999997
08_pulsar,pulsar-transaction,data structure,0.053156865750000004
08_pulsar,pulsar-transaction,back end,0.05487396350000001
08_pulsar,pulsar-transaction,password manager,0.05494237450000006
08_pulsar,pulsar-transaction,computer vision,0.05588036875000002
08_pulsar,pulsar-transaction,blockchain,0.05715036174999999
08_pulsar,pulsar-transaction,web browser engine,0.05840355850000006
08_pulsar,pulsar-transaction,database,0.05983813775000002
08_pulsar,pulsar-transaction,data,0.06021761725000008
08_pulsar,pulsar-transaction,logging,0.06053687650000017
08_pulsar,pulsar-transaction,application performance management,0.06110979399999994
08_pulsar,pulsar-transaction,time series,0.065409159
08_pulsar,pulsar-transaction,text processing,0.06773436725000004
08_pulsar,pulsar-transaction,operating system,0.06955223799999999
08_pulsar,pulsar-transaction,cryptocurrency,0.07043837500000005
08_pulsar,pulsar-transaction,package management system,0.07153501224999992
08_pulsar,pulsar-transaction,big data,0.07263233350000009
08_pulsar,pulsar-transaction,database management,0.07482818725000001
08_pulsar,pulsar-transaction,distributed database,0.07638939874999995
08_pulsar,pulsar-transaction,stream processing,0.08007147325000002
08_pulsar,pulsar-transaction,anomaly detection,0.08166244774999992
08_pulsar,pulsar-transaction,web application security,0.08233109049999998
08_pulsar,pulsar-transaction,analytics,0.08347771600000009
08_pulsar,pulsar-transaction,automation,0.08576156150000003
08_pulsar,pulsar-transaction,network monitoring,0.08620923650000001
08_pulsar,pulsar-transaction,computer data storage,0.0877619877500001
08_pulsar,pulsar-transaction,dependency injection,0.08948060000000002
08_pulsar,pulsar-transaction,web application,0.09103632050000005
08_pulsar,pulsar-transaction,Web Components,0.09690368874999994
08_pulsar,pulsar-transaction,mobile application development,0.10109981875000001
08_pulsar,pulsar-transaction,3D modeling,0.10367622400000004
08_pulsar,pulsar-transaction,long short-term memory,0.10454642224999999
08_pulsar,pulsar-transaction,information processing,0.10961759024999995
08_pulsar,pulsar-transaction,software testing,0.11622101774999999
08_pulsar,pulsar-transaction,HTTP client,0.11696838274999988
08_pulsar,pulsar-transaction,synchronization,0.11951098100000002
08_pulsar,pulsar-transaction,web development,0.14096878075000002
08_pulsar,pulsar-transaction,client,0.14794081199999998
