project_name,module,domain,diff_sim
12_shenyu,shenyu-spi,telecommunications network,0.0007867441666666863
12_shenyu,shenyu-spi,natural language processing,0.0011121649999999983
12_shenyu,shenyu-spi,back end,0.0015015966666667158
12_shenyu,shenyu-spi,web application,0.0029853836111112253
12_shenyu,shenyu-spi,penetration test,0.0033673105555556138
12_shenyu,shenyu-spi,client,0.004763124444444489
12_shenyu,shenyu-spi,World Wide Web,0.007420106388888903
12_shenyu,shenyu-spi,HTTP client,0.00985095000000008
12_shenyu,shenyu-spi,analytics,0.010123266111111084
12_shenyu,shenyu-spi,security,0.013864757777777681
12_shenyu,shenyu-spi,Kalman filter,0.016175081666666813
12_shenyu,shenyu-spi,graphical user interface,0.0168306883333334
12_shenyu,shenyu-spi,web application security,0.017314090833333406
12_shenyu,shenyu-spi,algorithmic trading,0.019522759722222283
12_shenyu,shenyu-spi,File Transfer Protocol,0.01965317972222219
12_shenyu,shenyu-spi,router,0.020325713611111074
12_shenyu,shenyu-spi,software testing,0.02172783611111112
12_shenyu,shenyu-spi,pattern matching,0.02390430944444466
12_shenyu,shenyu-spi,recommender system,0.024039839999999923
12_shenyu,shenyu-spi,WebSocket,0.024425208333333337
12_shenyu,shenyu-spi,streaming media,0.025536349722222185
12_shenyu,shenyu-spi,computer configuration,0.026210741111111102
12_shenyu,shenyu-spi,support vector machine,0.026535271388888837
12_shenyu,shenyu-spi,test automation,0.03100279444444448
12_shenyu,shenyu-spi,content management system,0.03740860944444446
12_shenyu,shenyu-spi,website,0.037729711388888865
12_shenyu,shenyu-spi,information processing,0.03880147388888894
12_shenyu,shenyu-spi,user interface,0.038851820833333384
12_shenyu,shenyu-spi,HTTP server,0.04181050944444442
12_shenyu,shenyu-spi,instant messaging,0.04498392583333333
12_shenyu,shenyu-spi,e-commerce,0.047578326666666726
12_shenyu,shenyu-spi,regular expression,0.05385517277777785
12_shenyu,shenyu-spi,language model,0.05595987638888894
12_shenyu,shenyu-spi,object detection,0.05627676722222219
12_shenyu,shenyu-spi,unit testing,0.0568237963888889
12_shenyu,shenyu-spi,web server,0.05860134555555563
12_shenyu,shenyu-spi,big data,0.06165841861111121
12_shenyu,shenyu-spi,microservices,0.06318640222222233
12_shenyu,shenyu-spi,static program analysis,0.06813482249999991
12_shenyu,shenyu-spi,data science,0.06862765277777777
12_shenyu,shenyu-spi,command-line interface,0.06900234583333337
12_shenyu,shenyu-spi,database management,0.06922997583333329
12_shenyu,shenyu-spi,server,0.06925288083333331
12_shenyu,shenyu-spi,web service,0.06945709777777781
12_shenyu,shenyu-spi,compiler,0.07006543666666654
12_shenyu,shenyu-spi,smart contract,0.07060053166666663
12_shenyu,shenyu-spi,stock market,0.07269299583333333
12_shenyu,shenyu-spi,data,0.07389485750000013
12_shenyu,shenyu-spi,electronic trading platform,0.07886887027777778
12_shenyu,shenyu-spi,file system,0.0794509891666666
12_shenyu,shenyu-spi,database,0.08606298805555557
12_shenyu,shenyu-spi,cryptocurrency,0.086767555
12_shenyu,shenyu-spi,distributed system,0.08723172277777774
12_shenyu,shenyu-spi,package management system,0.09031196138888886
12_shenyu,shenyu-spi,data binding,0.09577639222222223
12_shenyu,shenyu-spi,dependency injection,0.10224164499999999
12_shenyu,shenyu-spi,embedded system,0.10338418194444449
12_shenyu,shenyu-spi,distributed database,0.10472957555555545
12_shenyu,shenyu-spi,data structure,0.10705159444444445
12_shenyu,shenyu-spi,serialization,0.12148029249999998
12_shenyu,shenyu-spi,object–relational mapping,0.15697395305555567
