project_name,module,domain,diff_sim
01_dubbo,dubbo-monitor,web browser,0.0003336036641810036
01_dubbo,dubbo-monitor,distributed system,0.0003694335125364878
01_dubbo,dubbo-monitor,stream processing,0.0005976931133518937
01_dubbo,dubbo-monitor,information processing,0.0006754871036530607
01_dubbo,dubbo-monitor,regular expression,0.0008474855726010588
01_dubbo,dubbo-monitor,telecommunications network,0.0012140638451930696
01_dubbo,dubbo-monitor,benchmark,0.0014916933204559557
01_dubbo,dubbo-monitor,streaming media,0.0015110734942116455
01_dubbo,dubbo-monitor,password manager,0.001986018179401139
01_dubbo,dubbo-monitor,instant messaging,0.0025476547589068366
01_dubbo,dubbo-monitor,pattern matching,0.002822872088477868
01_dubbo,dubbo-monitor,HTTP client,0.0034072445146881014
01_dubbo,dubbo-monitor,"extract, transform, load",0.003420522355373601
01_dubbo,dubbo-monitor,continuous delivery,0.003654342874999994
01_dubbo,dubbo-monitor,scheduler,0.004063823956042323
01_dubbo,dubbo-monitor,distributed computing,0.00532540411846083
01_dubbo,dubbo-monitor,web crawler,0.005518900886052558
01_dubbo,dubbo-monitor,audio signal processing,0.00556667461151128
01_dubbo,dubbo-monitor,signal processing,0.0056616382836260915
01_dubbo,dubbo-monitor,data binding,0.005681332178087417
01_dubbo,dubbo-monitor,analytics,0.0063588003392364145
01_dubbo,dubbo-monitor,big data,0.006450467703109752
01_dubbo,dubbo-monitor,data compression,0.007336252117825737
01_dubbo,dubbo-monitor,image segmentation,0.008083217423342948
01_dubbo,dubbo-monitor,application performance management,0.008326525310160982
01_dubbo,dubbo-monitor,web browser engine,0.008591771833463269
01_dubbo,dubbo-monitor,time series,0.008843760324986794
01_dubbo,dubbo-monitor,HTTP server,0.009177937705891814
01_dubbo,dubbo-monitor,penetration test,0.009827286479284103
01_dubbo,dubbo-monitor,object detection,0.010637199603716563
01_dubbo,dubbo-monitor,server,0.011284537321681887
01_dubbo,dubbo-monitor,static program analysis,0.01143415448956131
01_dubbo,dubbo-monitor,data,0.011512176342573843
01_dubbo,dubbo-monitor,web server,0.012658243189973772
01_dubbo,dubbo-monitor,statistics,0.013268131679758488
01_dubbo,dubbo-monitor,automation,0.01376776948844538
01_dubbo,dubbo-monitor,computer data storage,0.01377387553261844
01_dubbo,dubbo-monitor,geographic information system,0.013872134812873749
01_dubbo,dubbo-monitor,text classification,0.01479364201997313
01_dubbo,dubbo-monitor,World Wide Web,0.01493063454453969
01_dubbo,dubbo-monitor,File Transfer Protocol,0.015498474014014385
01_dubbo,dubbo-monitor,blockchain,0.015584019742970856
01_dubbo,dubbo-monitor,continuous integration,0.017072904916695886
01_dubbo,dubbo-monitor,logging,0.01788194341456062
01_dubbo,dubbo-monitor,web application,0.01840337984385554
01_dubbo,dubbo-monitor,cluster analysis,0.018509849863956207
01_dubbo,dubbo-monitor,data analysis,0.01908636250980711
01_dubbo,dubbo-monitor,operating system,0.019511252141155455
01_dubbo,dubbo-monitor,support vector machine,0.019784337553773512
01_dubbo,dubbo-monitor,file system,0.021428760622083876
01_dubbo,dubbo-monitor,cloud computing,0.02177997621820793
01_dubbo,dubbo-monitor,web application security,0.021886550346153832
01_dubbo,dubbo-monitor,data structure,0.022031285582721716
01_dubbo,dubbo-monitor,back end,0.022129688652536728
01_dubbo,dubbo-monitor,client,0.022771657400152745
01_dubbo,dubbo-monitor,command-line interface,0.02284829986038217
01_dubbo,dubbo-monitor,text processing,0.024192637516904925
01_dubbo,dubbo-monitor,security,0.024283287782772
01_dubbo,dubbo-monitor,microservices,0.0248353608705405
01_dubbo,dubbo-monitor,database,0.025140018678047382
01_dubbo,dubbo-monitor,user interface,0.025162186858956548
01_dubbo,dubbo-monitor,backup,0.026171373179110446
01_dubbo,dubbo-monitor,graphical user interface,0.02640407855676885
01_dubbo,dubbo-monitor,recommender system,0.027041241940578775
01_dubbo,dubbo-monitor,data science,0.027060832888181063
01_dubbo,dubbo-monitor,graph database,0.027201846382376438
01_dubbo,dubbo-monitor,website,0.03039283526797476
01_dubbo,dubbo-monitor,game server,0.030597032656636602
01_dubbo,dubbo-monitor,network monitoring,0.030672581891390993
01_dubbo,dubbo-monitor,web service,0.031213761456010736
01_dubbo,dubbo-monitor,mobile application development,0.03369748675249795
01_dubbo,dubbo-monitor,test automation,0.034996629461667705
01_dubbo,dubbo-monitor,Web Components,0.03556168387281344
01_dubbo,dubbo-monitor,unit testing,0.03595853727902565
01_dubbo,dubbo-monitor,game engine,0.036750002293655215
01_dubbo,dubbo-monitor,package management system,0.039426050361037634
01_dubbo,dubbo-monitor,search,0.04098869546028305
01_dubbo,dubbo-monitor,smart contract,0.04281145176032919
01_dubbo,dubbo-monitor,content management system,0.04471078789336802
01_dubbo,dubbo-monitor,software testing,0.05941261913647489
