project_name,module,domain,diff_sim
01_dubbo,dubbo-registry,router,0.00032821754482048604
01_dubbo,dubbo-registry,regular expression,0.00047872413726968155
01_dubbo,dubbo-registry,object–relational mapping,0.0018954746434909353
01_dubbo,dubbo-registry,encryption,0.002433040386552676
01_dubbo,dubbo-registry,serialization,0.002731368944310475
01_dubbo,dubbo-registry,long short-term memory,0.004522008496884888
01_dubbo,dubbo-registry,scheduler,0.007269159038072348
01_dubbo,dubbo-registry,deep neural network,0.007592814891197341
01_dubbo,dubbo-registry,information processing,0.009681412847269755
01_dubbo,dubbo-registry,pattern matching,0.00968804757379449
01_dubbo,dubbo-registry,password manager,0.00980003219217429
01_dubbo,dubbo-registry,telecommunications network,0.011368510502019702
01_dubbo,dubbo-registry,geographic information system,0.011397440350596422
01_dubbo,dubbo-registry,network security,0.011801376712280098
01_dubbo,dubbo-registry,data binding,0.012416536319917348
01_dubbo,dubbo-registry,object detection,0.012747492756277845
01_dubbo,dubbo-registry,digital audio,0.013306166011459841
01_dubbo,dubbo-registry,natural language,0.013329556223105832
01_dubbo,dubbo-registry,File Transfer Protocol,0.014336080542877161
01_dubbo,dubbo-registry,artificial neural network,0.014536961432962126
01_dubbo,dubbo-registry,word embedding,0.014859490688605703
01_dubbo,dubbo-registry,digital security,0.015520567673686259
01_dubbo,dubbo-registry,streaming media,0.016034309229238985
01_dubbo,dubbo-registry,instant messaging,0.01626758359502334
01_dubbo,dubbo-registry,web crawler,0.016279816054325935
01_dubbo,dubbo-registry,hyperparameter optimization,0.01632596409995546
01_dubbo,dubbo-registry,validator,0.016452328781305536
01_dubbo,dubbo-registry,schema migration,0.01646792679171516
01_dubbo,dubbo-registry,malware,0.016771546264749526
01_dubbo,dubbo-registry,data compression,0.01687829077488745
01_dubbo,dubbo-registry,distributed system,0.017282652514154284
01_dubbo,dubbo-registry,topic modeling,0.01838131943980803
01_dubbo,dubbo-registry,distributed database,0.018660261660444988
01_dubbo,dubbo-registry,deep learning,0.018812883956511595
01_dubbo,dubbo-registry,embedded system,0.018822562146114885
01_dubbo,dubbo-registry,distributed multimedia communications platform,0.018916051142313206
01_dubbo,dubbo-registry,signal processing,0.0196248387665221
01_dubbo,dubbo-registry,anomaly detection,0.01968443494898464
01_dubbo,dubbo-registry,HTTP client,0.019830354209975254
01_dubbo,dubbo-registry,middleware,0.020073621802246033
01_dubbo,dubbo-registry,big data,0.020615921364207423
01_dubbo,dubbo-registry,data,0.0217583832752688
01_dubbo,dubbo-registry,web browser,0.021925771555507456
01_dubbo,dubbo-registry,"extract, transform, load",0.02274122632220399
01_dubbo,dubbo-registry,computer data storage,0.02403774104554135
01_dubbo,dubbo-registry,text classification,0.02419618231249343
01_dubbo,dubbo-registry,World Wide Web,0.024312535628303378
01_dubbo,dubbo-registry,language model,0.024963356611230614
01_dubbo,dubbo-registry,audio signal processing,0.02532131225998402
01_dubbo,dubbo-registry,algorithmic trading,0.026043369308777264
01_dubbo,dubbo-registry,time series,0.026496992146607612
01_dubbo,dubbo-registry,dependency injection,0.02679665688038657
01_dubbo,dubbo-registry,linear regression,0.02734003788736017
01_dubbo,dubbo-registry,logging,0.02841410214940021
01_dubbo,dubbo-registry,HTTP server,0.028552711557846666
01_dubbo,dubbo-registry,e-commerce,0.02856164319298027
01_dubbo,dubbo-registry,server,0.029031923188273634
01_dubbo,dubbo-registry,blockchain,0.02904564064862969
01_dubbo,dubbo-registry,distributed computing,0.029151426021864935
01_dubbo,dubbo-registry,education,0.02985732876370273
01_dubbo,dubbo-registry,web server,0.029919637540467003
01_dubbo,dubbo-registry,backup,0.030568094016849345
01_dubbo,dubbo-registry,file system,0.030578092052193973
