project_name,module,domain,diff_sim
03_flink,flink-runtime,password manager,0.0004274960002758066
03_flink,flink-runtime,distributed multimedia communications platform,0.0007211270368950862
03_flink,flink-runtime,computer data storage,0.0009793183806401373
03_flink,flink-runtime,social network,0.0011898090991698806
03_flink,flink-runtime,data,0.001296204551463953
03_flink,flink-runtime,network security,0.001474436352146613
03_flink,flink-runtime,geographic information,0.002071789217864217
03_flink,flink-runtime,authentication,0.002120675726393517
03_flink,flink-runtime,digital security,0.0021671792632829145
03_flink,flink-runtime,client,0.0029915772959984155
03_flink,flink-runtime,image segmentation,0.003080093579527099
03_flink,flink-runtime,scheduler,0.0032221263293569224
03_flink,flink-runtime,penetration test,0.0033385085435799766
03_flink,flink-runtime,encryption,0.003937001022120912
03_flink,flink-runtime,distributed system,0.004288257700072795
03_flink,flink-runtime,blockchain,0.004386498844111797
03_flink,flink-runtime,network analysis,0.004526372113825228
03_flink,flink-runtime,benchmark,0.005127778501131219
03_flink,flink-runtime,WebSocket,0.005145750787200476
03_flink,flink-runtime,data compression,0.0051986034287834215
03_flink,flink-runtime,facial recognition system,0.00528772507129327
03_flink,flink-runtime,word embedding,0.0058278474739428265
03_flink,flink-runtime,object detection,0.005833267679549392
03_flink,flink-runtime,random forest,0.0058881953416871635
03_flink,flink-runtime,File Transfer Protocol,0.0060712534256356365
03_flink,flink-runtime,geographic information system,0.006317052772760512
03_flink,flink-runtime,data structure,0.006396593977811671
03_flink,flink-runtime,computer benchmarking,0.006719969069663989
03_flink,flink-runtime,server,0.0067416896152984185
03_flink,flink-runtime,distributed database,0.0071762509050520285
03_flink,flink-runtime,statistics,0.007238628765588895
03_flink,flink-runtime,database,0.007691964915751637
03_flink,flink-runtime,stock market,0.0077985680356913445
03_flink,flink-runtime,hyperparameter optimization,0.00789759077852148
03_flink,flink-runtime,information retrieval,0.007903152609528785
03_flink,flink-runtime,routing,0.008092808853672362
03_flink,flink-runtime,long short-term memory,0.008322570986836642
03_flink,flink-runtime,router,0.008603325773593573
03_flink,flink-runtime,internet of things,0.008753634066466898
