project_name,module,domain,diff_sim
08_pulsar,pulsar-broker-auth-sasl,security,7.374743488597346e-05
08_pulsar,pulsar-broker-auth-sasl,encryption,0.0020689062915546508
08_pulsar,pulsar-broker-auth-sasl,stream processing,0.0033734228224929774
08_pulsar,pulsar-broker-auth-sasl,penetration test,0.004783407112146532
08_pulsar,pulsar-broker-auth-sasl,regular expression,0.00553393357615517
08_pulsar,pulsar-broker-auth-sasl,password manager,0.0066000324813556555
08_pulsar,pulsar-broker-auth-sasl,pattern matching,0.006735527134801966
08_pulsar,pulsar-broker-auth-sasl,digital security,0.00947803922057533
08_pulsar,pulsar-broker-auth-sasl,word embedding,0.010235164866739477
08_pulsar,pulsar-broker-auth-sasl,network security,0.012637774884162067
08_pulsar,pulsar-broker-auth-sasl,data,0.013089932508229762
08_pulsar,pulsar-broker-auth-sasl,web application security,0.014784996852647114
08_pulsar,pulsar-broker-auth-sasl,shell tool,0.015071322052233604
08_pulsar,pulsar-broker-auth-sasl,information processing,0.016160918612052044
08_pulsar,pulsar-broker-auth-sasl,logging,0.016523570072769722
08_pulsar,pulsar-broker-auth-sasl,digital audio,0.01753342267923308
08_pulsar,pulsar-broker-auth-sasl,data binding,0.01901189209283527
08_pulsar,pulsar-broker-auth-sasl,big data,0.019367031472691032
08_pulsar,pulsar-broker-auth-sasl,object detection,0.019438284200068545
08_pulsar,pulsar-broker-auth-sasl,instant messaging,0.01960410876693408
08_pulsar,pulsar-broker-auth-sasl,smart contract,0.019677056186855668
08_pulsar,pulsar-broker-auth-sasl,streaming media,0.02069662731153943
08_pulsar,pulsar-broker-auth-sasl,back end,0.020800566426745104
08_pulsar,pulsar-broker-auth-sasl,File Transfer Protocol,0.02086319993254404
08_pulsar,pulsar-broker-auth-sasl,HTTP server,0.020874527060824377
08_pulsar,pulsar-broker-auth-sasl,data structure,0.023963011163128378
08_pulsar,pulsar-broker-auth-sasl,validator,0.024597952608374163
08_pulsar,pulsar-broker-auth-sasl,telecommunications network,0.026716765073107496
08_pulsar,pulsar-broker-auth-sasl,microservices,0.02715276021316393
08_pulsar,pulsar-broker-auth-sasl,website,0.028688256818540037
08_pulsar,pulsar-broker-auth-sasl,digital image processing,0.031028723611036257
08_pulsar,pulsar-broker-auth-sasl,authentication,0.03108519867185655
08_pulsar,pulsar-broker-auth-sasl,dependency injection,0.031424308368819376
08_pulsar,pulsar-broker-auth-sasl,test automation,0.03154237848555108
08_pulsar,pulsar-broker-auth-sasl,automation,0.03176268164813145
08_pulsar,pulsar-broker-auth-sasl,front end,0.032568804452676736
08_pulsar,pulsar-broker-auth-sasl,file system,0.03417016014243379
08_pulsar,pulsar-broker-auth-sasl,data compression,0.03436644845154624
08_pulsar,pulsar-broker-auth-sasl,banking industry,0.035008650274264586
08_pulsar,pulsar-broker-auth-sasl,server,0.03539135189651099
08_pulsar,pulsar-broker-auth-sasl,web service,0.03600345097521973
08_pulsar,pulsar-broker-auth-sasl,web server,0.03602341454391911
08_pulsar,pulsar-broker-auth-sasl,distributed computing,0.036224847055773446
08_pulsar,pulsar-broker-auth-sasl,content management system,0.037517979016541636
08_pulsar,pulsar-broker-auth-sasl,database,0.03895849131458684
08_pulsar,pulsar-broker-auth-sasl,serialization,0.039047772690253724
08_pulsar,pulsar-broker-auth-sasl,analytics,0.039215050799062956
08_pulsar,pulsar-broker-auth-sasl,World Wide Web,0.039456408002854326
08_pulsar,pulsar-broker-auth-sasl,HTTP client,0.041455297747915676
08_pulsar,pulsar-broker-auth-sasl,unit testing,0.04154601332208885
08_pulsar,pulsar-broker-auth-sasl,distributed database,0.04231239645024876
08_pulsar,pulsar-broker-auth-sasl,mobile computing,0.04281038538341486
08_pulsar,pulsar-broker-auth-sasl,design,0.04607469973241729
08_pulsar,pulsar-broker-auth-sasl,operating system,0.046259128981742004
08_pulsar,pulsar-broker-auth-sasl,benchmark,0.04804505711162266
08_pulsar,pulsar-broker-auth-sasl,web application,0.048366532121743355
08_pulsar,pulsar-broker-auth-sasl,distributed multimedia communications platform,0.04868935177768885
08_pulsar,pulsar-broker-auth-sasl,user interface,0.05503734463865395
08_pulsar,pulsar-broker-auth-sasl,client,0.05759758659127856
08_pulsar,pulsar-broker-auth-sasl,computer configuration,0.05956580596424743
08_pulsar,pulsar-broker-auth-sasl,compiler,0.07072329030626856
08_pulsar,pulsar-broker-auth-sasl,command-line interface,0.07181046681445169
08_pulsar,pulsar-broker-auth-sasl,software testing,0.08188588719126677
08_pulsar,pulsar-broker-auth-sasl,package management system,0.08756359036496342
