project_name,module,domain,diff_sim
11_shardingsphere-elasticjob,elasticjob-api,compiler,5.958916404236181e-05
11_shardingsphere-elasticjob,elasticjob-api,test automation,0.00018534907393696898
11_shardingsphere-elasticjob,elasticjob-api,HTTP server,0.00032217201241568905
11_shardingsphere-elasticjob,elasticjob-api,pattern matching,0.0007115179146692796
11_shardingsphere-elasticjob,elasticjob-api,user interface,0.0008076288301233081
11_shardingsphere-elasticjob,elasticjob-api,regression analysis,0.0008147961730746722
11_shardingsphere-elasticjob,elasticjob-api,translation,0.0010220069182640401
11_shardingsphere-elasticjob,elasticjob-api,regular expression,0.0016100654680851756
11_shardingsphere-elasticjob,elasticjob-api,validator,0.0018467070564947008
11_shardingsphere-elasticjob,elasticjob-api,game engine,0.0020776424285198214
11_shardingsphere-elasticjob,elasticjob-api,data binding,0.0023276536987866248
11_shardingsphere-elasticjob,elasticjob-api,World Wide Web,0.002848039504000588
11_shardingsphere-elasticjob,elasticjob-api,data,0.0036626724117027054
11_shardingsphere-elasticjob,elasticjob-api,code generation,0.0036683348868711274
11_shardingsphere-elasticjob,elasticjob-api,security,0.0038784213684578406
11_shardingsphere-elasticjob,elasticjob-api,linear regression,0.003938804836550069
11_shardingsphere-elasticjob,elasticjob-api,Web Components,0.00412055468924255
11_shardingsphere-elasticjob,elasticjob-api,optical character recognition,0.005035703065889741
11_shardingsphere-elasticjob,elasticjob-api,website,0.005083830629005526
11_shardingsphere-elasticjob,elasticjob-api,back end,0.005449983139661385
11_shardingsphere-elasticjob,elasticjob-api,continuous integration,0.005825259262395965
11_shardingsphere-elasticjob,elasticjob-api,blockchain,0.006153656308869326
11_shardingsphere-elasticjob,elasticjob-api,unit testing,0.0064295614219449515
11_shardingsphere-elasticjob,elasticjob-api,command-line interface,0.007266797115206836
11_shardingsphere-elasticjob,elasticjob-api,language model,0.00764570340979287
11_shardingsphere-elasticjob,elasticjob-api,instant messaging,0.00786890357551795
11_shardingsphere-elasticjob,elasticjob-api,database,0.00803742305875399
11_shardingsphere-elasticjob,elasticjob-api,smart contract,0.008724858097694077
11_shardingsphere-elasticjob,elasticjob-api,big data,0.008874961322556829
11_shardingsphere-elasticjob,elasticjob-api,HTTP client,0.009330828291358673
11_shardingsphere-elasticjob,elasticjob-api,penetration test,0.009698261049557289
11_shardingsphere-elasticjob,elasticjob-api,convolutional neural network,0.009859461189434926
11_shardingsphere-elasticjob,elasticjob-api,scheduler,0.010453331396080956
11_shardingsphere-elasticjob,elasticjob-api,web server,0.010787229369240592
11_shardingsphere-elasticjob,elasticjob-api,automation,0.011323914973008553
11_shardingsphere-elasticjob,elasticjob-api,server,0.01152531087980635
11_shardingsphere-elasticjob,elasticjob-api,3D modeling,0.011606158651312093
11_shardingsphere-elasticjob,elasticjob-api,graphical user interface,0.011659845092715337
11_shardingsphere-elasticjob,elasticjob-api,embedded system,0.011745301236515182
11_shardingsphere-elasticjob,elasticjob-api,static program analysis,0.012027702283165298
11_shardingsphere-elasticjob,elasticjob-api,information processing,0.012928552227716161
11_shardingsphere-elasticjob,elasticjob-api,serialization,0.013013096769597055
11_shardingsphere-elasticjob,elasticjob-api,software testing,0.014572227449880515
11_shardingsphere-elasticjob,elasticjob-api,web application security,0.014742868156041089
11_shardingsphere-elasticjob,elasticjob-api,web crawler,0.015128910203578205
11_shardingsphere-elasticjob,elasticjob-api,web application,0.015288047531654692
11_shardingsphere-elasticjob,elasticjob-api,client,0.01619451178859277
11_shardingsphere-elasticjob,elasticjob-api,software development,0.01629158939542963
11_shardingsphere-elasticjob,elasticjob-api,object detection,0.016900211259608833
11_shardingsphere-elasticjob,elasticjob-api,object–relational mapping,0.017352256391009457
11_shardingsphere-elasticjob,elasticjob-api,static program analysis tool,0.017570237164514224
11_shardingsphere-elasticjob,elasticjob-api,data structure,0.0194084669246124
11_shardingsphere-elasticjob,elasticjob-api,web service,0.01955308273593237
11_shardingsphere-elasticjob,elasticjob-api,file system,0.01984631599686848
11_shardingsphere-elasticjob,elasticjob-api,analytics,0.027918774587295747
11_shardingsphere-elasticjob,elasticjob-api,database management,0.03251226553516995
11_shardingsphere-elasticjob,elasticjob-api,application performance management,0.03357298675714049
11_shardingsphere-elasticjob,elasticjob-api,cloud computing,0.04744770183793934
11_shardingsphere-elasticjob,elasticjob-api,package management system,0.047957079802690816
11_shardingsphere-elasticjob,elasticjob-api,dependency injection,0.048891594307968966
11_shardingsphere-elasticjob,elasticjob-api,microservices,0.0558130420726799
