project_name,module,domain,diff_sim
04_rocketmq,acl,database,0.009715847678571421
04_rocketmq,acl,serialization,0.01584642837500011
04_rocketmq,acl,website,0.01969940285714289
04_rocketmq,acl,cryptography,0.02060926099999999
04_rocketmq,acl,data,0.0214001541071428
04_rocketmq,acl,encryption,0.03169945732142859
04_rocketmq,acl,analytics,0.0517756456785714
04_rocketmq,acl,algorithm,0.0593491082857143
04_rocketmq,acl,bitcoin,0.06438439160714288
04_rocketmq,acl,logging,0.06604452874999991
04_rocketmq,acl,compiler,0.06972283161428582
04_rocketmq,acl,search,0.07300989326785709
04_rocketmq,acl,security,0.07406063499999999
04_rocketmq,acl,blockchain,0.11343035642857147
04_rocketmq,acl,authentication,0.11713266696428559
04_rocketmq,acl,email,0.12153038892857143
04_rocketmq,acl,microservices,0.13759876778571428
04_rocketmq,acl,automation,0.1482079566214286
04_rocketmq,acl,backup,0.1515148208928571
04_rocketmq,acl,server,0.16957333303571426
04_rocketmq,acl,client,0.17444558374999997
