project_name,module,domain,diff_sim
04_rocketmq,tieredstore,compiler,0.005268391888888918
04_rocketmq,tieredstore,database,0.021230451805555495
04_rocketmq,tieredstore,serialization,0.02743368704166671
04_rocketmq,tieredstore,synchronization,0.05565671405555561
04_rocketmq,tieredstore,scheduler,0.09656976847222232
04_rocketmq,tieredstore,blockchain,0.11159943211111109
04_rocketmq,tieredstore,analytics,0.1126354508055555
04_rocketmq,tieredstore,microservices,0.13345525549999998
04_rocketmq,tieredstore,data,0.14132956125000007
04_rocketmq,tieredstore,encryption,0.1578144651944445
04_rocketmq,tieredstore,algorithm,0.17502890144444438
04_rocketmq,tieredstore,logging,0.1986567876388888
04_rocketmq,tieredstore,website,0.203457755
04_rocketmq,tieredstore,security,0.21361853277777781
04_rocketmq,tieredstore,authentication,0.2562111141944445
04_rocketmq,tieredstore,server,0.30329821319444455
04_rocketmq,tieredstore,client,0.33391670263888884
