project_name,module,domain,diff_sim
06_hadoop,hadoop-tools,authentication,0.0008042801428572166
06_hadoop,hadoop-tools,game,0.010369909714285808
06_hadoop,hadoop-tools,debugger,0.018244608000000002
06_hadoop,hadoop-tools,encryption,0.020869514190476196
06_hadoop,hadoop-tools,email,0.022072137142857218
06_hadoop,hadoop-tools,search,0.022171737380952405
06_hadoop,hadoop-tools,classification,0.0240862103380952
06_hadoop,hadoop-tools,security,0.025721470371428495
06_hadoop,hadoop-tools,simulation,0.0554183617142857
06_hadoop,hadoop-tools,font,0.0658636290952381
06_hadoop,hadoop-tools,logging,0.0695086019523809
06_hadoop,hadoop-tools,cryptography,0.0717761589523809
06_hadoop,hadoop-tools,backup,0.0828894109523809
06_hadoop,hadoop-tools,microservices,0.08872385323809522
06_hadoop,hadoop-tools,synchronization,0.1070807549285714
06_hadoop,hadoop-tools,statistics,0.11000173476190483
06_hadoop,hadoop-tools,video,0.11322521571428573
06_hadoop,hadoop-tools,genomics,0.116285432
06_hadoop,hadoop-tools,blockchain,0.11656021442857142
06_hadoop,hadoop-tools,validator,0.12225116203809519
06_hadoop,hadoop-tools,algorithm,0.12782995740476188
06_hadoop,hadoop-tools,scheduler,0.14841624864285713
06_hadoop,hadoop-tools,middleware,0.1544490133333333
06_hadoop,hadoop-tools,translation,0.1742719700714285
06_hadoop,hadoop-tools,image,0.1847236585714285
06_hadoop,hadoop-tools,malware,0.20574235814285718
06_hadoop,hadoop-tools,analytics,0.2195655017619048
06_hadoop,hadoop-tools,kernel,0.24478157573809517
06_hadoop,hadoop-tools,client,0.24501505833333337
06_hadoop,hadoop-tools,server,0.2478398742857142
06_hadoop,hadoop-tools,database,0.27049086999999994
06_hadoop,hadoop-tools,data,0.35976255414285707
06_hadoop,hadoop-tools,website,0.48369545785714285
