project_name,module,domain,diff_sim
10_dolphinscheduler,dolphinscheduler-alert,malware,0.005059924071428495
10_dolphinscheduler,dolphinscheduler-alert,statistics,0.009009103328571397
10_dolphinscheduler,dolphinscheduler-alert,interpreter,0.009089593303571501
10_dolphinscheduler,dolphinscheduler-alert,website,0.010025999375000094
10_dolphinscheduler,dolphinscheduler-alert,kernel,0.011628819196428608
10_dolphinscheduler,dolphinscheduler-alert,encryption,0.018037003482142794
10_dolphinscheduler,dolphinscheduler-alert,chatbot,0.023922760357142803
10_dolphinscheduler,dolphinscheduler-alert,analytics,0.03922071696428578
10_dolphinscheduler,dolphinscheduler-alert,security,0.03970825303571421
10_dolphinscheduler,dolphinscheduler-alert,logging,0.06161003910714288
10_dolphinscheduler,dolphinscheduler-alert,authentication,0.07024787660714282
10_dolphinscheduler,dolphinscheduler-alert,validator,0.1646707537696428
10_dolphinscheduler,dolphinscheduler-alert,scheduler,0.1820046894642857
10_dolphinscheduler,dolphinscheduler-alert,database,0.18351715607142852
10_dolphinscheduler,dolphinscheduler-alert,server,0.2051338339285714
10_dolphinscheduler,dolphinscheduler-alert,client,0.2461364439285715
10_dolphinscheduler,dolphinscheduler-alert,microservices,0.2929787353571428
10_dolphinscheduler,dolphinscheduler-alert,automation,0.3477769153142858
10_dolphinscheduler,dolphinscheduler-alert,email,0.43258210548214293
