project_name,module,domain,diff_sim
01_dubbo,dubbo-config,Semantic Web,6.500171427770152e-05
01_dubbo,dubbo-config,encryption,0.0001048106072830679
01_dubbo,dubbo-config,Parser combinator,0.0009554254376590299
01_dubbo,dubbo-config,geographic information,0.0013026119150656434
01_dubbo,dubbo-config,information processing,0.0014173793793550438
01_dubbo,dubbo-config,word embedding,0.002564841451704325
01_dubbo,dubbo-config,information retrieval,0.002972627807782846
01_dubbo,dubbo-config,image recognition,0.0035456879653401607
01_dubbo,dubbo-config,authentication,0.0037629199589784834
01_dubbo,dubbo-config,regular expression,0.003845320268615393
01_dubbo,dubbo-config,Bayesian inference,0.0039863861550512025
01_dubbo,dubbo-config,lexical analysis,0.004496917165653369
01_dubbo,dubbo-config,optical character recognition,0.005191537033725213
01_dubbo,dubbo-config,application performance management,0.005259705552095206
01_dubbo,dubbo-config,password manager,0.005632274718271546
01_dubbo,dubbo-config,deep neural network,0.006621192626252159
01_dubbo,dubbo-config,validator,0.006838054343670796
01_dubbo,dubbo-config,"extract, transform, load",0.006950220449238653
01_dubbo,dubbo-config,text classification,0.006998948813499051
01_dubbo,dubbo-config,embedded system,0.00706120389214393
01_dubbo,dubbo-config,serialization,0.007196800963769068
01_dubbo,dubbo-config,data compression,0.00746641311640972
01_dubbo,dubbo-config,long short-term memory,0.00901242880088482
01_dubbo,dubbo-config,object detection,0.009451101981012955
01_dubbo,dubbo-config,Containerization,0.009512772542163428
01_dubbo,dubbo-config,virtual reality,0.009842508608689293
01_dubbo,dubbo-config,web application,0.010395025277518566
01_dubbo,dubbo-config,translation,0.011256703376764987
01_dubbo,dubbo-config,router,0.011261430039051779
01_dubbo,dubbo-config,facial recognition system,0.011436664599971502
01_dubbo,dubbo-config,middleware,0.011551327880137241
01_dubbo,dubbo-config,distributed multimedia communications platform,0.011551962486408107
01_dubbo,dubbo-config,digital image processing,0.011750823078264916
01_dubbo,dubbo-config,image segmentation,0.012042590819708598
01_dubbo,dubbo-config,synchronization,0.012043520050375789
01_dubbo,dubbo-config,distributed database,0.012064637093971764
01_dubbo,dubbo-config,digital security,0.012109439592503768
01_dubbo,dubbo-config,artificial neural network,0.012419562318193078
01_dubbo,dubbo-config,geographic information system,0.012427944170162575
01_dubbo,dubbo-config,data,0.012499691907174149
01_dubbo,dubbo-config,dependency injection,0.012629077633450336
01_dubbo,dubbo-config,random forest,0.012668598501574424
01_dubbo,dubbo-config,pattern matching,0.013117163133064436
01_dubbo,dubbo-config,hyperparameter optimization,0.01347941754814741
01_dubbo,dubbo-config,audio signal processing,0.013538638572047179
01_dubbo,dubbo-config,network security,0.013551393372825071
01_dubbo,dubbo-config,digital audio,0.014006028839616436
01_dubbo,dubbo-config,malware,0.014195541319610983
01_dubbo,dubbo-config,information extraction,0.014269502507730403
01_dubbo,dubbo-config,web application security,0.014300632649060785
01_dubbo,dubbo-config,telecommunications network,0.014577681204581916
01_dubbo,dubbo-config,database management,0.014609270950350695
01_dubbo,dubbo-config,virtual machine,0.014629673906757512
01_dubbo,dubbo-config,topic modeling,0.014729033622766119
01_dubbo,dubbo-config,deep learning,0.014734321644494952
01_dubbo,dubbo-config,computer data storage,0.014910283248099065
01_dubbo,dubbo-config,object–relational mapping,0.015489625566256437
01_dubbo,dubbo-config,distributed system,0.015791674880846318
01_dubbo,dubbo-config,data structure,0.016763673498717657
01_dubbo,dubbo-config,data binding,0.01685649714494053
01_dubbo,dubbo-config,convolutional neural network,0.016885048030554684
01_dubbo,dubbo-config,Q-learning,0.017095484108201275
01_dubbo,dubbo-config,instant messaging,0.01739007101589307
01_dubbo,dubbo-config,linear algebra,0.01798034523864267
01_dubbo,dubbo-config,signal processing,0.018253508444720845
01_dubbo,dubbo-config,static program analysis,0.018507435349416235
01_dubbo,dubbo-config,artificial intelligence,0.018714456446297656
01_dubbo,dubbo-config,video processing,0.01881715963383035
01_dubbo,dubbo-config,integrated development environment,0.019419248302094183
01_dubbo,dubbo-config,language model,0.01958428844157989
01_dubbo,dubbo-config,text processing,0.01969516142147143
01_dubbo,dubbo-config,WebSocket,0.019888608722567036
01_dubbo,dubbo-config,benchmark,0.01997909716905144
01_dubbo,dubbo-config,computer configuration,0.020000850377554946
01_dubbo,dubbo-config,data mining,0.020075391459378644
01_dubbo,dubbo-config,reinforcement learning,0.02013755710637577
01_dubbo,dubbo-config,big data,0.020183184576268887
01_dubbo,dubbo-config,linear regression,0.02050427509368602
01_dubbo,dubbo-config,distributed computing,0.020685296426303013
01_dubbo,dubbo-config,web browser engine,0.02077845882044449
01_dubbo,dubbo-config,internet of things,0.021160254811208312
01_dubbo,dubbo-config,microservices,0.02141739841748269
01_dubbo,dubbo-config,database,0.021598503887930387
01_dubbo,dubbo-config,mobile application development,0.02227179166210591
01_dubbo,dubbo-config,automation,0.022360273955638332
01_dubbo,dubbo-config,3D modeling,0.022490245094683448
01_dubbo,dubbo-config,network monitoring,0.022497506663083144
01_dubbo,dubbo-config,algorithmic trading,0.022811858103750526
01_dubbo,dubbo-config,scheduler,0.022845036258871354
01_dubbo,dubbo-config,stream processing,0.023042970376771943
01_dubbo,dubbo-config,education,0.0232208470103058
01_dubbo,dubbo-config,reactive programming,0.02333177517275853
01_dubbo,dubbo-config,network analysis,0.02412182167481791
01_dubbo,dubbo-config,cloud computing,0.024253512951603606
01_dubbo,dubbo-config,streaming media,0.024561022713138425
01_dubbo,dubbo-config,face detection,0.024725829928585963
01_dubbo,dubbo-config,web browser,0.02488933585975317
01_dubbo,dubbo-config,internet bot,0.024896889563765012
01_dubbo,dubbo-config,penetration test,0.025102648614836687
01_dubbo,dubbo-config,Kalman filter,0.025162749689011665
01_dubbo,dubbo-config,web crawler,0.025192526590191222
01_dubbo,dubbo-config,computer vision,0.025720088847107414
01_dubbo,dubbo-config,analytics,0.02581742472435833
01_dubbo,dubbo-config,Web Components,0.02612945717507198
01_dubbo,dubbo-config,static program analysis tool,0.026268159251821355
01_dubbo,dubbo-config,anomaly detection,0.02672085476363717
01_dubbo,dubbo-config,blockchain,0.02735766670202544
01_dubbo,dubbo-config,content management system,0.027429811982372487
01_dubbo,dubbo-config,compiler,0.027500115192778174
01_dubbo,dubbo-config,electronic trading platform,0.028159674246502897
01_dubbo,dubbo-config,logging,0.028419648974043588
01_dubbo,dubbo-config,cryptocurrency,0.02845051852747693
01_dubbo,dubbo-config,Malware Analysis,0.02883187940220011
01_dubbo,dubbo-config,World Wide Web,0.028990344073248298
01_dubbo,dubbo-config,back end,0.029226747716134538
01_dubbo,dubbo-config,operating system,0.029691321873431376
01_dubbo,dubbo-config,e-commerce,0.029799417722252364
01_dubbo,dubbo-config,continuous delivery,0.029880405796107734
01_dubbo,dubbo-config,File Transfer Protocol,0.030306089500105493
01_dubbo,dubbo-config,server,0.03033932122448013
01_dubbo,dubbo-config,code generation,0.030427511499602766
