project_name,module,domain,diff_sim
01_dubbo,dubbo-container,embedded system,0.01923153521522747
01_dubbo,dubbo-container,web application security,0.03160896937575952
01_dubbo,dubbo-container,file system,0.03507705418115459
01_dubbo,dubbo-container,classification,0.037261667967853795
01_dubbo,dubbo-container,static program analysis,0.0372953518336967
01_dubbo,dubbo-container,distributed system,0.043190878918345055
01_dubbo,dubbo-container,package management system,0.04380004147367511
01_dubbo,dubbo-container,web application,0.04558650971737155
01_dubbo,dubbo-container,web browser engine,0.0480227665909807
01_dubbo,dubbo-container,security,0.048135495022966435
01_dubbo,dubbo-container,microservices,0.048319014945828576
01_dubbo,dubbo-container,automation,0.048494722809647284
01_dubbo,dubbo-container,instant messaging,0.04973071725657441
01_dubbo,dubbo-container,machine learning,0.05002073687490638
01_dubbo,dubbo-container,operating system,0.05187361966989812
01_dubbo,dubbo-container,database,0.05265523152481377
01_dubbo,dubbo-container,Web Components,0.05282016828585623
01_dubbo,dubbo-container,streaming media,0.05324078892190631
01_dubbo,dubbo-container,telecommunications network,0.055737523401375055
01_dubbo,dubbo-container,content management system,0.05648435516698336
01_dubbo,dubbo-container,cloud computing,0.05718650814157655
01_dubbo,dubbo-container,server,0.05758378313684065
01_dubbo,dubbo-container,algorithm,0.05779250726119545
01_dubbo,dubbo-container,World Wide Web,0.05923726680778252
01_dubbo,dubbo-container,benchmark,0.05925685755323218
01_dubbo,dubbo-container,web server,0.059991193366323525
01_dubbo,dubbo-container,command-line interface,0.06331895595706538
01_dubbo,dubbo-container,big data,0.06365833011342037
01_dubbo,dubbo-container,graphical user interface,0.06657732035160602
01_dubbo,dubbo-container,analytics,0.06881379722739944
01_dubbo,dubbo-container,user interface,0.06972311366564932
01_dubbo,dubbo-container,recommender system,0.07082016454543949
01_dubbo,dubbo-container,website,0.07379870590903748
01_dubbo,dubbo-container,HTTP server,0.07531187089067759
01_dubbo,dubbo-container,test automation,0.07790400982778811
01_dubbo,dubbo-container,web service,0.0812303608106344
01_dubbo,dubbo-container,software testing,0.0834948841820895
