project_name,module,domain,diff_sim
01_dubbo,dubbo-metadata,data binding,0.0004920010882724091
01_dubbo,dubbo-metadata,"extract, transform, load",0.0015467720795542261
01_dubbo,dubbo-metadata,encryption,0.0025133876735075056
01_dubbo,dubbo-metadata,password manager,0.004120744420551881
01_dubbo,dubbo-metadata,data compression,0.004166053967576966
01_dubbo,dubbo-metadata,Semantic Web,0.004346930661363602
01_dubbo,dubbo-metadata,word embedding,0.004979597487265175
01_dubbo,dubbo-metadata,serialization,0.005679025417010264
01_dubbo,dubbo-metadata,long short-term memory,0.006400249228044164
01_dubbo,dubbo-metadata,audio signal processing,0.006539327951080476
01_dubbo,dubbo-metadata,stream processing,0.006628921304967839
01_dubbo,dubbo-metadata,geographic information system,0.006862332462587495
01_dubbo,dubbo-metadata,optical character recognition,0.0073314788149589916
01_dubbo,dubbo-metadata,data mining,0.0073924233813824625
01_dubbo,dubbo-metadata,image classification,0.00751183225897345
01_dubbo,dubbo-metadata,information processing,0.009042159103223035
01_dubbo,dubbo-metadata,embedded system,0.0091061413160618
01_dubbo,dubbo-metadata,signal processing,0.009218678800989033
01_dubbo,dubbo-metadata,computer data storage,0.009347849347740245
01_dubbo,dubbo-metadata,object detection,0.009753039161854105
01_dubbo,dubbo-metadata,data,0.010895856304568241
01_dubbo,dubbo-metadata,neural machine translation,0.011217624226553147
01_dubbo,dubbo-metadata,pattern matching,0.01154615224850053
01_dubbo,dubbo-metadata,data structure,0.012152339940793788
01_dubbo,dubbo-metadata,schema migration,0.012321498378068285
01_dubbo,dubbo-metadata,regular expression,0.014634850649709263
01_dubbo,dubbo-metadata,validator,0.015522854247761342
01_dubbo,dubbo-metadata,big data,0.015531718185775922
01_dubbo,dubbo-metadata,distributed database,0.015569579522811572
01_dubbo,dubbo-metadata,database management,0.016983317374823836
01_dubbo,dubbo-metadata,object–relational mapping,0.018352254363575016
01_dubbo,dubbo-metadata,text classification,0.018392356276765498
01_dubbo,dubbo-metadata,distributed multimedia communications platform,0.01876426730626901
01_dubbo,dubbo-metadata,interpreter,0.019513059362831542
01_dubbo,dubbo-metadata,deep learning,0.019600058432267753
01_dubbo,dubbo-metadata,streaming media,0.019625448673897483
01_dubbo,dubbo-metadata,router,0.020501637879466683
01_dubbo,dubbo-metadata,application performance management,0.020999993282009966
01_dubbo,dubbo-metadata,File Transfer Protocol,0.021538239938492354
01_dubbo,dubbo-metadata,text processing,0.02284371988693623
01_dubbo,dubbo-metadata,scheduler,0.02305021405508123
01_dubbo,dubbo-metadata,benchmark,0.023148120117731485
01_dubbo,dubbo-metadata,Kalman filter,0.023404859342198936
01_dubbo,dubbo-metadata,web crawler,0.02347090344481073
01_dubbo,dubbo-metadata,data science,0.02511566048617142
01_dubbo,dubbo-metadata,language model,0.025173042935395906
01_dubbo,dubbo-metadata,dependency injection,0.02555839049555808
01_dubbo,dubbo-metadata,3D computer graphics,0.025881387783916576
01_dubbo,dubbo-metadata,data analysis,0.026270752087891536
01_dubbo,dubbo-metadata,web application,0.026961205892435114
01_dubbo,dubbo-metadata,static program analysis,0.02743088558376494
01_dubbo,dubbo-metadata,analytics,0.027815674444531924
01_dubbo,dubbo-metadata,image,0.02783932633196784
01_dubbo,dubbo-metadata,distributed system,0.02798127914742421
01_dubbo,dubbo-metadata,computer graphics,0.028087655113101406
01_dubbo,dubbo-metadata,web browser,0.028228946031020663
01_dubbo,dubbo-metadata,database,0.028448511010173094
01_dubbo,dubbo-metadata,telecommunications network,0.028655984280676727
01_dubbo,dubbo-metadata,automation,0.028927819943236344
01_dubbo,dubbo-metadata,web browser engine,0.028985999445964472
01_dubbo,dubbo-metadata,algorithm,0.029074783102590707
01_dubbo,dubbo-metadata,back end,0.02945860185802518
01_dubbo,dubbo-metadata,anomaly detection,0.029535683553060244
01_dubbo,dubbo-metadata,web server,0.029720337097401295
01_dubbo,dubbo-metadata,WebSocket,0.029929429875681923
01_dubbo,dubbo-metadata,HTTP server,0.02995037483932217
01_dubbo,dubbo-metadata,HTTP client,0.03022731648082988
01_dubbo,dubbo-metadata,data visualization,0.03042563474794302
01_dubbo,dubbo-metadata,web application security,0.030444056184567803
01_dubbo,dubbo-metadata,machine learning,0.030637045320266676
01_dubbo,dubbo-metadata,instant messaging,0.030843999281969015
01_dubbo,dubbo-metadata,algorithmic trading,0.030898077476869346
01_dubbo,dubbo-metadata,file system,0.03118895342009531
01_dubbo,dubbo-metadata,linear regression,0.03194062735293701
01_dubbo,dubbo-metadata,blockchain,0.03209936055259022
01_dubbo,dubbo-metadata,distributed computing,0.03210239323932973
01_dubbo,dubbo-metadata,World Wide Web,0.03211014337454532
01_dubbo,dubbo-metadata,penetration test,0.03255879261901995
01_dubbo,dubbo-metadata,compiler,0.03256591243798301
01_dubbo,dubbo-metadata,server,0.03282484620403281
01_dubbo,dubbo-metadata,code generation,0.03323860229754505
01_dubbo,dubbo-metadata,web service,0.03339469488939373
01_dubbo,dubbo-metadata,microservices,0.03348880569861035
01_dubbo,dubbo-metadata,graph database,0.033662423695316246
01_dubbo,dubbo-metadata,e-commerce,0.0337721450192896
01_dubbo,dubbo-metadata,computer configuration,0.03446365733792911
01_dubbo,dubbo-metadata,static program analysis tool,0.03496847674238435
01_dubbo,dubbo-metadata,front end,0.035125874609490904
01_dubbo,dubbo-metadata,backup,0.03609526717236766
01_dubbo,dubbo-metadata,cloud computing,0.036211294517422665
01_dubbo,dubbo-metadata,education,0.036345749751655276
01_dubbo,dubbo-metadata,time series,0.03642819767761085
01_dubbo,dubbo-metadata,content management system,0.03674308589695863
01_dubbo,dubbo-metadata,classification,0.03702292191878287
01_dubbo,dubbo-metadata,electronic trading platform,0.037270777744755734
01_dubbo,dubbo-metadata,logging,0.03804058424358936
01_dubbo,dubbo-metadata,cryptocurrency,0.039631150909915536
01_dubbo,dubbo-metadata,operating system,0.04043738754301296
01_dubbo,dubbo-metadata,security,0.040527444385875744
01_dubbo,dubbo-metadata,functional programming,0.04129976000767188
01_dubbo,dubbo-metadata,statistics,0.04186334519255597
01_dubbo,dubbo-metadata,support vector machine,0.042814773525404304
01_dubbo,dubbo-metadata,user interface,0.04323075185936287
01_dubbo,dubbo-metadata,stock market,0.043367762674362376
01_dubbo,dubbo-metadata,game engine,0.04413443485630997
01_dubbo,dubbo-metadata,text editor,0.04416394511021904
01_dubbo,dubbo-metadata,website,0.04560971777955081
01_dubbo,dubbo-metadata,command-line interface,0.04607986896585259
01_dubbo,dubbo-metadata,Web Components,0.04625828576775104
01_dubbo,dubbo-metadata,bitcoin,0.04762240837149512
01_dubbo,dubbo-metadata,client,0.04765520725100714
01_dubbo,dubbo-metadata,recommender system,0.04818941064278148
01_dubbo,dubbo-metadata,graphical user interface,0.05037585298357916
01_dubbo,dubbo-metadata,smart contract,0.05109895064601311
01_dubbo,dubbo-metadata,package management system,0.052050609669886505
01_dubbo,dubbo-metadata,test automation,0.05289004959114729
01_dubbo,dubbo-metadata,documentation,0.055953355500055646
01_dubbo,dubbo-metadata,continuous integration,0.056381604274973074
01_dubbo,dubbo-metadata,unit testing,0.05827195365857629
01_dubbo,dubbo-metadata,static site generator,0.05918651810308928
01_dubbo,dubbo-metadata,web development,0.060563562594714404
01_dubbo,dubbo-metadata,software testing,0.07210626924717989
