project_name,module,domain,diff_sim
01_dubbo,dubbo-xds,pattern matching,0.0005195127739561212
01_dubbo,dubbo-xds,regular expression,0.0017817188653952432
01_dubbo,dubbo-xds,object–relational mapping,0.003671132883449002
01_dubbo,dubbo-xds,router,0.0037412366437612476
01_dubbo,dubbo-xds,routing,0.00890528271168367
01_dubbo,dubbo-xds,deep neural network,0.01102252656740843
01_dubbo,dubbo-xds,Parser combinator,0.011767633917393439
01_dubbo,dubbo-xds,digital audio,0.012071217972766002
01_dubbo,dubbo-xds,data binding,0.014166524455291318
01_dubbo,dubbo-xds,word embedding,0.01505751310837622
01_dubbo,dubbo-xds,optical character recognition,0.017332737026049427
01_dubbo,dubbo-xds,object detection,0.01769967970280084
01_dubbo,dubbo-xds,digital security,0.018178486394471616
01_dubbo,dubbo-xds,long short-term memory,0.019295903278692905
01_dubbo,dubbo-xds,password manager,0.01961842787741941
01_dubbo,dubbo-xds,deep learning,0.019725780433852314
01_dubbo,dubbo-xds,data compression,0.020958462519924614
01_dubbo,dubbo-xds,scheduler,0.020972654815272884
01_dubbo,dubbo-xds,information processing,0.021103392829426193
01_dubbo,dubbo-xds,distributed system,0.02165808493253163
01_dubbo,dubbo-xds,serialization,0.021964816436490064
01_dubbo,dubbo-xds,telecommunications network,0.022471640576310792
01_dubbo,dubbo-xds,WebSocket,0.022650949080979865
01_dubbo,dubbo-xds,natural language,0.022736797951016796
01_dubbo,dubbo-xds,File Transfer Protocol,0.022780236485564487
01_dubbo,dubbo-xds,geographic information system,0.02354248543275861
01_dubbo,dubbo-xds,distributed database,0.02406067786803534
01_dubbo,dubbo-xds,middleware,0.024106821084134644
01_dubbo,dubbo-xds,data,0.024870407768855962
01_dubbo,dubbo-xds,linear regression,0.025301711341418787
01_dubbo,dubbo-xds,cluster analysis,0.025338061856479133
01_dubbo,dubbo-xds,signal processing,0.02567731585957367
01_dubbo,dubbo-xds,embedded system,0.025906356817968823
01_dubbo,dubbo-xds,streaming media,0.027220993988145925
01_dubbo,dubbo-xds,digital image processing,0.027891934043155597
01_dubbo,dubbo-xds,big data,0.02824979742821987
01_dubbo,dubbo-xds,algorithmic trading,0.028346144975606724
01_dubbo,dubbo-xds,audio signal processing,0.02892919666073046
01_dubbo,dubbo-xds,distributed multimedia communications platform,0.02897570042861841
01_dubbo,dubbo-xds,anomaly detection,0.029432209305098156
01_dubbo,dubbo-xds,stream processing,0.030041682700208905
01_dubbo,dubbo-xds,internet of things,0.030537611746510707
01_dubbo,dubbo-xds,HTTP client,0.031147137525957436
01_dubbo,dubbo-xds,World Wide Web,0.032001866400353296
01_dubbo,dubbo-xds,instant messaging,0.03226162198490656
01_dubbo,dubbo-xds,distributed computing,0.032485864130515796
01_dubbo,dubbo-xds,server,0.03330753411049947
01_dubbo,dubbo-xds,dependency injection,0.03356147884032046
01_dubbo,dubbo-xds,HTTP server,0.03356849827401864
01_dubbo,dubbo-xds,back end,0.0335907735824682
01_dubbo,dubbo-xds,text classification,0.033768727438151735
01_dubbo,dubbo-xds,penetration test,0.03401266694529115
01_dubbo,dubbo-xds,algorithm,0.03420326183696398
01_dubbo,dubbo-xds,computer data storage,0.034588406602913624
