project_name,module,domain,diff_sim
05_shardingsphere,db-protocol,regular expression,0.011984818822590726
05_shardingsphere,db-protocol,validator,0.012510133631713272
05_shardingsphere,db-protocol,serialization,0.015651154693145375
05_shardingsphere,db-protocol,pattern matching,0.019461557719252065
05_shardingsphere,db-protocol,static program analysis,0.02067752061994521
05_shardingsphere,db-protocol,HTTP client,0.02393976235457973
05_shardingsphere,db-protocol,encryption,0.02481281216949416
05_shardingsphere,db-protocol,optical character recognition,0.02537178246354832
05_shardingsphere,db-protocol,penetration test,0.02539847798903805
05_shardingsphere,db-protocol,"extract, transform, load",0.02672910872264167
05_shardingsphere,db-protocol,WebSocket,0.0268207320212005
05_shardingsphere,db-protocol,code generation,0.029082664016068183
05_shardingsphere,db-protocol,text processing,0.029083550439560124
05_shardingsphere,db-protocol,interpreter,0.029444701396166173
05_shardingsphere,db-protocol,unit testing,0.02971843130505092
05_shardingsphere,db-protocol,convolutional neural network,0.030236601753597436
05_shardingsphere,db-protocol,File Transfer Protocol,0.030964716072524157
05_shardingsphere,db-protocol,translation,0.031047803857055856
05_shardingsphere,db-protocol,stream processing,0.031405802023587115
05_shardingsphere,db-protocol,compiler,0.03181320094188356
05_shardingsphere,db-protocol,object detection,0.03183217390859605
05_shardingsphere,db-protocol,static program analysis tool,0.03427831355724731
05_shardingsphere,db-protocol,long short-term memory,0.03431446699573737
05_shardingsphere,db-protocol,algorithm,0.0347456900549562
05_shardingsphere,db-protocol,text classification,0.0348269739421454
05_shardingsphere,db-protocol,sorting algorithm,0.035398122046549685
05_shardingsphere,db-protocol,authentication,0.03540508265321762
05_shardingsphere,db-protocol,data compression,0.03636726914925292
05_shardingsphere,db-protocol,font,0.03640340894940963
05_shardingsphere,db-protocol,logging,0.03663677271861365
05_shardingsphere,db-protocol,language model,0.03727138807854091
05_shardingsphere,db-protocol,image editing,0.03770518761573116
05_shardingsphere,db-protocol,syntax highlighting,0.03988218470161842
05_shardingsphere,db-protocol,scheduler,0.040541626245335194
05_shardingsphere,db-protocol,HTTP server,0.04079792512330693
05_shardingsphere,db-protocol,schema migration,0.04086289749822869
05_shardingsphere,db-protocol,time series,0.040933131640941034
05_shardingsphere,db-protocol,random forest,0.04096430270811413
05_shardingsphere,db-protocol,regression analysis,0.04145168227945184
05_shardingsphere,db-protocol,word embedding,0.04183014301486632
05_shardingsphere,db-protocol,digital image processing,0.043796492291388156
05_shardingsphere,db-protocol,front end,0.043949481453181005
05_shardingsphere,db-protocol,email,0.04486349919746668
05_shardingsphere,db-protocol,security,0.045246607383035986
05_shardingsphere,db-protocol,test automation,0.0462492340160463
05_shardingsphere,db-protocol,internet bot,0.04705767740062461
05_shardingsphere,db-protocol,password manager,0.047294358763586786
05_shardingsphere,db-protocol,data,0.04816135726809179
05_shardingsphere,db-protocol,information processing,0.04887365137979649
05_shardingsphere,db-protocol,text mining,0.04898112843752289
05_shardingsphere,db-protocol,static site generator,0.049652178970365
05_shardingsphere,db-protocol,search,0.051004682555905956
05_shardingsphere,db-protocol,benchmark,0.05120284833275002
05_shardingsphere,db-protocol,dependency injection,0.05253127565267346
