project_name,module,domain,diff_sim
05_shardingsphere,infra,lexical analysis,0.0017263581709954234
05_shardingsphere,infra,static program analysis,0.0017464870914006836
05_shardingsphere,infra,"extract, transform, load",0.0022788497432941757
05_shardingsphere,infra,topic modeling,0.0061220787453866166
05_shardingsphere,infra,parsing,0.006444012056961879
05_shardingsphere,infra,image segmentation,0.008062375118505383
05_shardingsphere,infra,serialization,0.010427937812471089
05_shardingsphere,infra,regular expression,0.011021490815128154
05_shardingsphere,infra,language model,0.011954505181583253
05_shardingsphere,infra,pattern matching,0.012160896535779231
05_shardingsphere,infra,code generation,0.012199066694148608
05_shardingsphere,infra,functional programming,0.0129971301888272
05_shardingsphere,infra,validator,0.013056663978710747
05_shardingsphere,infra,schema migration,0.014781716372015974
05_shardingsphere,infra,natural language,0.01484731646280768
05_shardingsphere,infra,object detection,0.015612701641001814
05_shardingsphere,infra,geometry,0.016165430216389165
05_shardingsphere,infra,scheduler,0.016801727167150338
05_shardingsphere,infra,stream processing,0.01681814805985593
05_shardingsphere,infra,information extraction,0.017533087922084856
05_shardingsphere,infra,natural language processing,0.01761678289254709
05_shardingsphere,infra,translation,0.017850963004280684
05_shardingsphere,infra,static program analysis tool,0.018903110336307094
05_shardingsphere,infra,sorting algorithm,0.019038728215202583
05_shardingsphere,infra,hyperparameter optimization,0.019364907356875016
05_shardingsphere,infra,syntax highlighting,0.020214903242597893
05_shardingsphere,infra,object–relational mapping,0.02070073994264121
05_shardingsphere,infra,convolutional neural network,0.021376130815901284
05_shardingsphere,infra,debugging,0.021963159999828896
05_shardingsphere,infra,plot,0.022164334154717302
05_shardingsphere,infra,text classification,0.02228667567470377
05_shardingsphere,infra,compiler,0.022366958582210716
05_shardingsphere,infra,interpreter,0.022831751925663446
05_shardingsphere,infra,Semantic Web,0.0230174739157053
05_shardingsphere,infra,web crawler,0.02316694056039914
05_shardingsphere,infra,optical character recognition,0.023754377882941657
05_shardingsphere,infra,Parser combinator,0.023971667450577883
05_shardingsphere,infra,sentiment analysis,0.02441626606428049
05_shardingsphere,infra,Kalman filter,0.024420071572159974
05_shardingsphere,infra,cluster analysis,0.026717784546562262
05_shardingsphere,infra,computational science,0.027001248513076614
05_shardingsphere,infra,static site generator,0.027102212271274073
