project_name,module,domain,diff_sim
07_druid,server,scheduler,0.0039007323623374557
07_druid,server,signal processing,0.005159308262298823
07_druid,server,HTTP client,0.010716257056591738
07_druid,server,router,0.01274611328424713
07_druid,server,HTTP server,0.012864010077447419
07_druid,server,stream processing,0.014775736434767595
07_druid,server,sorting algorithm,0.014897321763771565
07_druid,server,web server,0.017008038888431387
07_druid,server,server,0.017271385626814073
07_druid,server,Parser combinator,0.017587269895613433
07_druid,server,password manager,0.019041369135643027
07_druid,server,WebSocket,0.020771820796538165
07_druid,server,network monitoring,0.024256712834018535
07_druid,server,long short-term memory,0.02458919595999587
07_druid,server,dependency injection,0.025418277219134477
07_druid,server,middleware,0.025589472974666294
07_druid,server,time series,0.026031384077189634
07_druid,server,pattern matching,0.02610403865954225
07_druid,server,microservices,0.026185177896703604
07_druid,server,serverless computing,0.02622601232750632
07_druid,server,serialization,0.02643851044045009
07_druid,server,information processing,0.026977635981920156
07_druid,server,recurrent neural network,0.027354921604632043
07_druid,server,web browser,0.02741274332023924
07_druid,server,embedded system,0.027714312173912514
07_druid,server,"extract, transform, load",0.02840684132505178
07_druid,server,web crawler,0.030072375714150557
07_druid,server,application performance management,0.030244470596350936
07_druid,server,client,0.030539733708708328
07_druid,server,data binding,0.030582187683957596
07_druid,server,internet of things,0.030585973095691443
07_druid,server,synchronization,0.030635460730510822
07_druid,server,web service,0.03067947839476237
07_druid,server,network security,0.03097381809437949
07_druid,server,object–relational mapping,0.03208767772801557
07_druid,server,banking industry,0.03217865958040622
07_druid,server,web application security,0.032505266012195944
07_druid,server,shell tool,0.03268617816365771
07_druid,server,network analysis,0.03272378611483362
07_druid,server,back end,0.03281022311340187
07_druid,server,audio signal processing,0.0342393159059734
07_druid,server,reactive programming,0.03552812809673911
07_druid,server,logistic regression model,0.035885158653583105
07_druid,server,continuous delivery,0.03596110105522354
07_druid,server,game server,0.03616160294369197
07_druid,server,image segmentation,0.0367569860614928
07_druid,server,File Transfer Protocol,0.03678160668961583
07_druid,server,video processing,0.03688586997959653
07_druid,server,validator,0.03707158695196111
07_druid,server,regular expression,0.03731010763747988
07_druid,server,electronic trading platform,0.03745481900900738
07_druid,server,functional programming,0.037538246916314355
07_druid,server,penetration test,0.03764262334761981
07_druid,server,debugger,0.038203475716813706
07_druid,server,web application,0.03831884390733842
07_druid,server,front end,0.03838480258157728
07_druid,server,benchmark,0.0384264509034824
07_druid,server,distributed system,0.03861932143734659
07_druid,server,web browser engine,0.03882257974376979
07_druid,server,mathematical finance,0.03903685883510655
07_druid,server,encryption,0.03907104963474228
07_druid,server,static program analysis,0.03916660089043611
07_druid,server,animation,0.03961813373892198
07_druid,server,e-commerce,0.039803931473063825
07_druid,server,big data,0.03998037827701362
07_druid,server,static program analysis tool,0.04019574745915111
