project_name,module,domain,diff_sim
08_pulsar,pulsar-functions,anomaly detection,0.0013488007009946346
08_pulsar,pulsar-functions,stream processing,0.004250653722443265
08_pulsar,pulsar-functions,Parser combinator,0.004555187500699276
08_pulsar,pulsar-functions,"extract, transform, load",0.004676174107911768
08_pulsar,pulsar-functions,signal processing,0.007614250205554396
08_pulsar,pulsar-functions,big data,0.007888332198948689
08_pulsar,pulsar-functions,word embedding,0.008603824004407734
08_pulsar,pulsar-functions,data science,0.01018548800377761
08_pulsar,pulsar-functions,information processing,0.01074930747420566
08_pulsar,pulsar-functions,named-entity recognition,0.011028301736203283
08_pulsar,pulsar-functions,sorting algorithm,0.01198356729430683
08_pulsar,pulsar-functions,information extraction,0.011984540927100329
08_pulsar,pulsar-functions,data,0.012300343684571557
08_pulsar,pulsar-functions,deep learning,0.012359318952336551
08_pulsar,pulsar-functions,data mining,0.012734359548433716
08_pulsar,pulsar-functions,audio signal processing,0.012826843176743208
08_pulsar,pulsar-functions,long short-term memory,0.014471045365910706
08_pulsar,pulsar-functions,cluster analysis,0.014676559248474552
08_pulsar,pulsar-functions,data analysis,0.015065261851658573
08_pulsar,pulsar-functions,time series,0.015317618523811971
08_pulsar,pulsar-functions,scheduler,0.015561305136068682
08_pulsar,pulsar-functions,hyperparameter optimization,0.01604098868941639
08_pulsar,pulsar-functions,natural language processing,0.017414311518746284
08_pulsar,pulsar-functions,WebSocket,0.018568334633211947
08_pulsar,pulsar-functions,data binding,0.019131539497411088
08_pulsar,pulsar-functions,text classification,0.01926787699317145
08_pulsar,pulsar-functions,pattern matching,0.019636475973584644
08_pulsar,pulsar-functions,functional programming,0.019839158052679884
08_pulsar,pulsar-functions,web crawler,0.020125200027503398
08_pulsar,pulsar-functions,sentiment analysis,0.020246312882517103
08_pulsar,pulsar-functions,streaming media,0.020930626078182524
08_pulsar,pulsar-functions,object detection,0.020936391190664816
08_pulsar,pulsar-functions,web scraping,0.02212425112303862
08_pulsar,pulsar-functions,logging,0.02301598893155099
08_pulsar,pulsar-functions,Semantic Web,0.023631857226864228
08_pulsar,pulsar-functions,cloud computing,0.024106358696702412
08_pulsar,pulsar-functions,internet of things,0.02417325667935133
08_pulsar,pulsar-functions,penetration test,0.024251255882903555
08_pulsar,pulsar-functions,data structure,0.024364952467840206
08_pulsar,pulsar-functions,text processing,0.024610882121747224
08_pulsar,pulsar-functions,statistics,0.024790773159272583
08_pulsar,pulsar-functions,dependency injection,0.02480950627012013
08_pulsar,pulsar-functions,router,0.025111067616849336
08_pulsar,pulsar-functions,Q-learning,0.02537910895958473
08_pulsar,pulsar-functions,middleware,0.025527165914170702
08_pulsar,pulsar-functions,data visualization,0.025778231341243907
08_pulsar,pulsar-functions,face detection,0.02609978869254992
08_pulsar,pulsar-functions,Web Components,0.026283173998021825
08_pulsar,pulsar-functions,backup,0.026887815008473814
08_pulsar,pulsar-functions,computational science,0.02734106608637188
08_pulsar,pulsar-functions,static program analysis,0.027376698203123384
08_pulsar,pulsar-functions,validator,0.027577138204231466
08_pulsar,pulsar-functions,reinforcement learning,0.027578536006033105
08_pulsar,pulsar-functions,information retrieval,0.02831476616937867
08_pulsar,pulsar-functions,smart contract,0.02841338367926549
08_pulsar,pulsar-functions,natural language understanding,0.02846974593591689
08_pulsar,pulsar-functions,object–relational mapping,0.028558350011356315
08_pulsar,pulsar-functions,blockchain,0.02858697100999874
08_pulsar,pulsar-functions,synchronization,0.029432889844926424
08_pulsar,pulsar-functions,data compression,0.029596278584051006
08_pulsar,pulsar-functions,microservices,0.029768204322574765
08_pulsar,pulsar-functions,digital image processing,0.02997650511222938
08_pulsar,pulsar-functions,Kalman filter,0.030366152340278174
08_pulsar,pulsar-functions,distributed computing,0.031026424549759235
08_pulsar,pulsar-functions,shell tool,0.031181672025115792
08_pulsar,pulsar-functions,question answering,0.03156871662406291
08_pulsar,pulsar-functions,animation,0.03176101343259774
08_pulsar,pulsar-functions,application performance management,0.03188844839694227
08_pulsar,pulsar-functions,schema migration,0.032092729660397445
08_pulsar,pulsar-functions,back end,0.03245521023849807
08_pulsar,pulsar-functions,authentication,0.032521664779965875
08_pulsar,pulsar-functions,Image analysis,0.03261138328808211
08_pulsar,pulsar-functions,password manager,0.032743219227941656
08_pulsar,pulsar-functions,digital audio,0.032834046300450725
08_pulsar,pulsar-functions,classification,0.03348758562689269
08_pulsar,pulsar-functions,security,0.03359922871801102
08_pulsar,pulsar-functions,machine learning,0.03387286381214638
08_pulsar,pulsar-functions,machine translation,0.03419924663927132
08_pulsar,pulsar-functions,mathematics,0.03437083076524017
08_pulsar,pulsar-functions,File Transfer Protocol,0.03518126659739218
08_pulsar,pulsar-functions,artificial neural network,0.03525993154697871
08_pulsar,pulsar-functions,continuous integration,0.03530428274595543
08_pulsar,pulsar-functions,file system,0.03540409243398823
08_pulsar,pulsar-functions,knowledge graph,0.035631232391759915
08_pulsar,pulsar-functions,reactive programming,0.03571250223513245
