project_name,module,domain,diff_sim
08_pulsar,pulsar-sql,data science,0.0006551582016665058
08_pulsar,pulsar-sql,word embedding,0.0016817198784429
08_pulsar,pulsar-sql,long short-term memory,0.0023295703194227135
08_pulsar,pulsar-sql,data,0.0023754609401985816
08_pulsar,pulsar-sql,Parser combinator,0.0029285342347992183
08_pulsar,pulsar-sql,schema migration,0.003276181481183471
08_pulsar,pulsar-sql,data structure,0.003870585490707845
08_pulsar,pulsar-sql,stream processing,0.0053764772253399595
08_pulsar,pulsar-sql,information processing,0.008367003515742821
08_pulsar,pulsar-sql,object–relational mapping,0.008721696681732283
08_pulsar,pulsar-sql,data mining,0.009682951034722942
08_pulsar,pulsar-sql,data analysis,0.009789668724876965
08_pulsar,pulsar-sql,data compression,0.011333572146620896
08_pulsar,pulsar-sql,data binding,0.011532587804808703
08_pulsar,pulsar-sql,time series,0.013262394299749958
08_pulsar,pulsar-sql,deep learning,0.013304925827336889
08_pulsar,pulsar-sql,convolutional neural network,0.014401776770989638
08_pulsar,pulsar-sql,database management,0.015196413141639775
08_pulsar,pulsar-sql,big data,0.015903311116394425
08_pulsar,pulsar-sql,distributed database,0.01615667572586099
08_pulsar,pulsar-sql,information extraction,0.016740880602207575
08_pulsar,pulsar-sql,text processing,0.016791005201081233
08_pulsar,pulsar-sql,data visualization,0.01761635113850979
08_pulsar,pulsar-sql,pattern matching,0.01870861571656368
08_pulsar,pulsar-sql,logging,0.018930304055635894
08_pulsar,pulsar-sql,hyperparameter optimization,0.0194339054340128
08_pulsar,pulsar-sql,information retrieval,0.019497928103096585
08_pulsar,pulsar-sql,computer data storage,0.020198156988537663
08_pulsar,pulsar-sql,graph database,0.02065855441705433
08_pulsar,pulsar-sql,database,0.02267733524637272
08_pulsar,pulsar-sql,geographic information,0.022978462352740592
08_pulsar,pulsar-sql,WebSocket,0.02330448574829591
08_pulsar,pulsar-sql,backup,0.024853523399932076
08_pulsar,pulsar-sql,digital audio,0.025097411435914596
08_pulsar,pulsar-sql,serialization,0.02633125028154293
08_pulsar,pulsar-sql,password manager,0.026915088374083074
08_pulsar,pulsar-sql,optical character recognition,0.027380923519440103
08_pulsar,pulsar-sql,smart contract,0.027716838013872924
08_pulsar,pulsar-sql,back end,0.027828598738676935
08_pulsar,pulsar-sql,object detection,0.028394528971818822
08_pulsar,pulsar-sql,File Transfer Protocol,0.029211444017046784
08_pulsar,pulsar-sql,Semantic Web,0.029419942219786277
08_pulsar,pulsar-sql,file system,0.029655222537620762
08_pulsar,pulsar-sql,streaming media,0.029990544466134805
08_pulsar,pulsar-sql,Web Components,0.03014668622476413
08_pulsar,pulsar-sql,validator,0.030964064820674264
08_pulsar,pulsar-sql,distributed computing,0.031116586184058215
08_pulsar,pulsar-sql,regular expression,0.031224628933155585
08_pulsar,pulsar-sql,synchronization,0.03154283990291373
08_pulsar,pulsar-sql,embedded system,0.03319736752594138
08_pulsar,pulsar-sql,support vector machine,0.03326661628400729
08_pulsar,pulsar-sql,distributed system,0.033480549409945826
08_pulsar,pulsar-sql,microservices,0.03391185231707283
08_pulsar,pulsar-sql,penetration test,0.033944197134129106
08_pulsar,pulsar-sql,machine learning,0.034122187945870186
08_pulsar,pulsar-sql,digital image processing,0.03458122085307069
08_pulsar,pulsar-sql,analytics,0.034955510881473084
08_pulsar,pulsar-sql,benchmark,0.03517048454818428
08_pulsar,pulsar-sql,digital security,0.03617259120844063
08_pulsar,pulsar-sql,automation,0.0368606056297186
08_pulsar,pulsar-sql,instant messaging,0.037536934872202
08_pulsar,pulsar-sql,translation,0.037886139595337376
08_pulsar,pulsar-sql,content management system,0.03858794961927714
08_pulsar,pulsar-sql,Naive Bayes classifier,0.03908537848230886
08_pulsar,pulsar-sql,artificial neural network,0.03967880230879306
08_pulsar,pulsar-sql,static program analysis,0.039877391192201905
08_pulsar,pulsar-sql,geographic information system,0.041620358892783926
08_pulsar,pulsar-sql,automated machine learning,0.04201666169954099
08_pulsar,pulsar-sql,website,0.042717303512106564
08_pulsar,pulsar-sql,telecommunications network,0.04311481704114861
08_pulsar,pulsar-sql,language model,0.04431868394798599
08_pulsar,pulsar-sql,dependency injection,0.04459465370389937
08_pulsar,pulsar-sql,design,0.04551881746399644
08_pulsar,pulsar-sql,test automation,0.04733600421673656
08_pulsar,pulsar-sql,unit testing,0.051127452947492324
08_pulsar,pulsar-sql,virtual reality,0.051401294528229724
08_pulsar,pulsar-sql,distributed multimedia communications platform,0.05204248547281398
08_pulsar,pulsar-sql,application performance management,0.0538607938137412
08_pulsar,pulsar-sql,user interface,0.05393160108111106
08_pulsar,pulsar-sql,static program analysis tool,0.054337372019464536
08_pulsar,pulsar-sql,HTTP server,0.055269754066536336
08_pulsar,pulsar-sql,server,0.05568356651152284
08_pulsar,pulsar-sql,documentation,0.05572355115046157
08_pulsar,pulsar-sql,code generation,0.05731357600394493
08_pulsar,pulsar-sql,operating system,0.05738101804578277
08_pulsar,pulsar-sql,web service,0.05891515868762798
08_pulsar,pulsar-sql,World Wide Web,0.06068348635089649
08_pulsar,pulsar-sql,computer configuration,0.061795492194320345
08_pulsar,pulsar-sql,web browser engine,0.0629856702751248
08_pulsar,pulsar-sql,web server,0.06455134470454782
