project_name,module,domain,diff_sim
10_dolphinscheduler,dolphinscheduler-api,authentication,0.0033134787894157913
10_dolphinscheduler,dolphinscheduler-api,password manager,0.00548648838506316
10_dolphinscheduler,dolphinscheduler-api,data binding,0.00817869773155111
10_dolphinscheduler,dolphinscheduler-api,data,0.010756498720754348
10_dolphinscheduler,dolphinscheduler-api,penetration test,0.011144834949723292
10_dolphinscheduler,dolphinscheduler-api,digital audio,0.011421381115659934
10_dolphinscheduler,dolphinscheduler-api,serialization,0.01213563389835981
10_dolphinscheduler,dolphinscheduler-api,information retrieval,0.013467015818528827
10_dolphinscheduler,dolphinscheduler-api,HTTP client,0.013846904732267906
10_dolphinscheduler,dolphinscheduler-api,geographic information system,0.01504451523829542
10_dolphinscheduler,dolphinscheduler-api,database management,0.01506634816574648
10_dolphinscheduler,dolphinscheduler-api,object–relational mapping,0.01613139202559144
10_dolphinscheduler,dolphinscheduler-api,data mining,0.016825738261766365
10_dolphinscheduler,dolphinscheduler-api,regression analysis,0.01717648311618425
10_dolphinscheduler,dolphinscheduler-api,digital security,0.01740436974705406
10_dolphinscheduler,dolphinscheduler-api,time series,0.017474776414171944
10_dolphinscheduler,dolphinscheduler-api,search,0.01783468963222301
10_dolphinscheduler,dolphinscheduler-api,data analysis,0.018340314808974356
10_dolphinscheduler,dolphinscheduler-api,scheduler,0.018451069578880985
10_dolphinscheduler,dolphinscheduler-api,validator,0.01872024917404369
10_dolphinscheduler,dolphinscheduler-api,big data,0.018844066565792517
10_dolphinscheduler,dolphinscheduler-api,web service,0.018891472356558858
10_dolphinscheduler,dolphinscheduler-api,server,0.019070414958311854
10_dolphinscheduler,dolphinscheduler-api,computer data storage,0.019733765056512254
10_dolphinscheduler,dolphinscheduler-api,application performance management,0.020275069824644
10_dolphinscheduler,dolphinscheduler-api,regular expression,0.020397176341578227
10_dolphinscheduler,dolphinscheduler-api,static program analysis,0.020401853971207196
10_dolphinscheduler,dolphinscheduler-api,Parser combinator,0.02052725828608315
10_dolphinscheduler,dolphinscheduler-api,security,0.020593336859642708
10_dolphinscheduler,dolphinscheduler-api,client,0.020731339624675882
10_dolphinscheduler,dolphinscheduler-api,HTTP server,0.02180681556047137
10_dolphinscheduler,dolphinscheduler-api,hyperparameter optimization,0.02187276084676948
10_dolphinscheduler,dolphinscheduler-api,signal processing,0.022221588828743033
10_dolphinscheduler,dolphinscheduler-api,database,0.022254428059097275
10_dolphinscheduler,dolphinscheduler-api,user interface,0.02249403211201939
10_dolphinscheduler,dolphinscheduler-api,data structure,0.02259959834285752
10_dolphinscheduler,dolphinscheduler-api,email,0.02347422207115224
10_dolphinscheduler,dolphinscheduler-api,pattern matching,0.024437889700701154
10_dolphinscheduler,dolphinscheduler-api,"extract, transform, load",0.024575296138473535
10_dolphinscheduler,dolphinscheduler-api,cluster analysis,0.024609809289754314
10_dolphinscheduler,dolphinscheduler-api,logging,0.02464131164996375
10_dolphinscheduler,dolphinscheduler-api,long short-term memory,0.024779324152713
10_dolphinscheduler,dolphinscheduler-api,graph database,0.025302494759728567
10_dolphinscheduler,dolphinscheduler-api,search engine,0.025426893124824268
10_dolphinscheduler,dolphinscheduler-api,information processing,0.025488081938231266
10_dolphinscheduler,dolphinscheduler-api,distributed system,0.025598422730634063
10_dolphinscheduler,dolphinscheduler-api,data compression,0.02570934125559854
10_dolphinscheduler,dolphinscheduler-api,data visualization,0.025808214267966645
10_dolphinscheduler,dolphinscheduler-api,linear regression,0.025953220473567074
10_dolphinscheduler,dolphinscheduler-api,web server,0.026077435395671644
10_dolphinscheduler,dolphinscheduler-api,web crawler,0.026170105133355603
10_dolphinscheduler,dolphinscheduler-api,File Transfer Protocol,0.026386835962118216
10_dolphinscheduler,dolphinscheduler-api,distributed database,0.026667122240237484
10_dolphinscheduler,dolphinscheduler-api,telecommunications network,0.027458228473808077
10_dolphinscheduler,dolphinscheduler-api,static program analysis tool,0.027753930301893992
10_dolphinscheduler,dolphinscheduler-api,internet bot,0.028315498677911388
10_dolphinscheduler,dolphinscheduler-api,object detection,0.028353930920143156
10_dolphinscheduler,dolphinscheduler-api,benchmark,0.028506813786930985
10_dolphinscheduler,dolphinscheduler-api,web application security,0.028509918843509396
10_dolphinscheduler,dolphinscheduler-api,dependency injection,0.02868009282856898
10_dolphinscheduler,dolphinscheduler-api,game server,0.029010724037797697
10_dolphinscheduler,dolphinscheduler-api,graph,0.029137955582661745
10_dolphinscheduler,dolphinscheduler-api,back end,0.029772658828070564
10_dolphinscheduler,dolphinscheduler-api,business dashboard,0.029968913996848534
