project_name,module,domain,diff_sim
10_dolphinscheduler,dolphinscheduler-service,signal processing,0.004047801161231379
10_dolphinscheduler,dolphinscheduler-service,scheduler,0.00777855538135086
10_dolphinscheduler,dolphinscheduler-service,audio signal processing,0.00837277567823802
10_dolphinscheduler,dolphinscheduler-service,digital image processing,0.013685980391481056
10_dolphinscheduler,dolphinscheduler-service,pattern matching,0.015348976925845137
10_dolphinscheduler,dolphinscheduler-service,static program analysis,0.01688731518712805
10_dolphinscheduler,dolphinscheduler-service,server,0.017084620378120197
10_dolphinscheduler,dolphinscheduler-service,time series,0.017829039904670885
10_dolphinscheduler,dolphinscheduler-service,router,0.018006758001353318
10_dolphinscheduler,dolphinscheduler-service,computer data storage,0.019039960621478502
10_dolphinscheduler,dolphinscheduler-service,HTTP server,0.01916999115699536
10_dolphinscheduler,dolphinscheduler-service,data,0.01941814569485234
10_dolphinscheduler,dolphinscheduler-service,regular expression,0.019520763464021096
10_dolphinscheduler,dolphinscheduler-service,serialization,0.020767698955976188
10_dolphinscheduler,dolphinscheduler-service,stream processing,0.020797796551333514
10_dolphinscheduler,dolphinscheduler-service,distributed system,0.0225072296603257
10_dolphinscheduler,dolphinscheduler-service,data compression,0.023125717005067048
10_dolphinscheduler,dolphinscheduler-service,computer configuration,0.023287231476582848
10_dolphinscheduler,dolphinscheduler-service,hyperparameter optimization,0.023605312747845608
10_dolphinscheduler,dolphinscheduler-service,database management,0.024745688530896315
10_dolphinscheduler,dolphinscheduler-service,data structure,0.02478530606769802
10_dolphinscheduler,dolphinscheduler-service,game server,0.02493226944914184
10_dolphinscheduler,dolphinscheduler-service,big data,0.02637366453526757
10_dolphinscheduler,dolphinscheduler-service,graph algorithm,0.026487054441862612
10_dolphinscheduler,dolphinscheduler-service,static program analysis tool,0.026509735355852104
10_dolphinscheduler,dolphinscheduler-service,"extract, transform, load",0.026716333076533982
10_dolphinscheduler,dolphinscheduler-service,encryption,0.026737403600030962
10_dolphinscheduler,dolphinscheduler-service,geographic information system,0.0269610629964252
10_dolphinscheduler,dolphinscheduler-service,long short-term memory,0.02711432752967491
10_dolphinscheduler,dolphinscheduler-service,validator,0.027401905541464044
10_dolphinscheduler,dolphinscheduler-service,benchmark,0.0275786491096206
10_dolphinscheduler,dolphinscheduler-service,web server,0.027649109767549196
10_dolphinscheduler,dolphinscheduler-service,application performance management,0.027771955038831786
10_dolphinscheduler,dolphinscheduler-service,sorting algorithm,0.027786522435968575
10_dolphinscheduler,dolphinscheduler-service,data binding,0.027876462897529652
10_dolphinscheduler,dolphinscheduler-service,penetration test,0.028383711355383978
10_dolphinscheduler,dolphinscheduler-service,telecommunications network,0.028687626248262377
10_dolphinscheduler,dolphinscheduler-service,File Transfer Protocol,0.029090579067322597
10_dolphinscheduler,dolphinscheduler-service,database,0.02959904959822568
10_dolphinscheduler,dolphinscheduler-service,password manager,0.02964797941325026
10_dolphinscheduler,dolphinscheduler-service,graph,0.029808896793988793
10_dolphinscheduler,dolphinscheduler-service,HTTP client,0.030002666895029395
10_dolphinscheduler,dolphinscheduler-service,facial recognition system,0.03021467831653768
10_dolphinscheduler,dolphinscheduler-service,instant messaging,0.031176438823234176
10_dolphinscheduler,dolphinscheduler-service,operating system,0.03170321192188974
10_dolphinscheduler,dolphinscheduler-service,file system,0.031756067885436834
10_dolphinscheduler,dolphinscheduler-service,logging,0.031947565755288676
