project_name,module,domain,diff_sim
12_shenyu,shenyu-loadbalancer,data visualization,0.00032241834241597545
12_shenyu,shenyu-loadbalancer,cloud computing,0.00046738707458204853
12_shenyu,shenyu-loadbalancer,penetration test,0.0024600369436248437
12_shenyu,shenyu-loadbalancer,software architecture,0.0025524099088976016
12_shenyu,shenyu-loadbalancer,continuous integration,0.003053081298906357
12_shenyu,shenyu-loadbalancer,linear regression,0.003104347032521493
12_shenyu,shenyu-loadbalancer,data structure,0.003315739105773874
12_shenyu,shenyu-loadbalancer,continuous deployment,0.003534368749798955
12_shenyu,shenyu-loadbalancer,graph database,0.003947342043675972
12_shenyu,shenyu-loadbalancer,computational science,0.003991409541640345
12_shenyu,shenyu-loadbalancer,object–relational mapping,0.004158529647594111
12_shenyu,shenyu-loadbalancer,time series,0.004197618132334546
12_shenyu,shenyu-loadbalancer,encryption,0.0044821806311257095
12_shenyu,shenyu-loadbalancer,analytics,0.004483908105318957
12_shenyu,shenyu-loadbalancer,computer data storage,0.004529742039199758
12_shenyu,shenyu-loadbalancer,algorithm,0.004686596195029091
12_shenyu,shenyu-loadbalancer,geographic information system,0.004763504758867554
12_shenyu,shenyu-loadbalancer,streaming media,0.005154910961305492
12_shenyu,shenyu-loadbalancer,stream processing,0.0058845063376742335
12_shenyu,shenyu-loadbalancer,unit testing,0.006351858207415573
12_shenyu,shenyu-loadbalancer,code generation,0.006992588681464018
12_shenyu,shenyu-loadbalancer,random forest,0.007583435843888209
12_shenyu,shenyu-loadbalancer,data science,0.008103254661396608
12_shenyu,shenyu-loadbalancer,data,0.008495977168107238
12_shenyu,shenyu-loadbalancer,Containerization,0.008973442856143765
12_shenyu,shenyu-loadbalancer,security,0.009073044523433271
12_shenyu,shenyu-loadbalancer,Image analysis,0.009098618236888179
12_shenyu,shenyu-loadbalancer,file system,0.009422836989435246
12_shenyu,shenyu-loadbalancer,support vector machine,0.009558228472552832
12_shenyu,shenyu-loadbalancer,machine learning,0.010032474450308637
12_shenyu,shenyu-loadbalancer,smart contract,0.010157140801944187
12_shenyu,shenyu-loadbalancer,data mining,0.010220885158704451
12_shenyu,shenyu-loadbalancer,data analysis,0.01229142467444444
12_shenyu,shenyu-loadbalancer,blockchain,0.012403418281084155
12_shenyu,shenyu-loadbalancer,back end,0.012598883704271868
12_shenyu,shenyu-loadbalancer,database,0.012961036790077651
12_shenyu,shenyu-loadbalancer,shell tool,0.014194082718569812
12_shenyu,shenyu-loadbalancer,microservices,0.015156585758751007
12_shenyu,shenyu-loadbalancer,data compression,0.01523831389574748
12_shenyu,shenyu-loadbalancer,package management system,0.015429966134356432
12_shenyu,shenyu-loadbalancer,HTTP server,0.015435417861396572
12_shenyu,shenyu-loadbalancer,web server,0.016288498027875464
12_shenyu,shenyu-loadbalancer,language model,0.01667260405836113
12_shenyu,shenyu-loadbalancer,web service,0.016954337296951838
12_shenyu,shenyu-loadbalancer,scheduler,0.017228522871999052
12_shenyu,shenyu-loadbalancer,File Transfer Protocol,0.01726555465084978
12_shenyu,shenyu-loadbalancer,pattern matching,0.018780897012430797
12_shenyu,shenyu-loadbalancer,software testing,0.01947427176669203
12_shenyu,shenyu-loadbalancer,object detection,0.019752428788138765
12_shenyu,shenyu-loadbalancer,server,0.01980568424080731
12_shenyu,shenyu-loadbalancer,distributed system,0.01988487268017014
12_shenyu,shenyu-loadbalancer,benchmark,0.020735634766770206
12_shenyu,shenyu-loadbalancer,HTTP client,0.020831690488662624
12_shenyu,shenyu-loadbalancer,World Wide Web,0.021004527734827638
12_shenyu,shenyu-loadbalancer,website,0.021453028767423943
12_shenyu,shenyu-loadbalancer,telecommunications network,0.022142763128265686
12_shenyu,shenyu-loadbalancer,automation,0.02279522437359327
12_shenyu,shenyu-loadbalancer,distributed database,0.023531009394949787
12_shenyu,shenyu-loadbalancer,Web Components,0.02355675381078337
12_shenyu,shenyu-loadbalancer,front end,0.024202471689110938
12_shenyu,shenyu-loadbalancer,sorting algorithm,0.024242475064010005
12_shenyu,shenyu-loadbalancer,data binding,0.024349455437702727
12_shenyu,shenyu-loadbalancer,game server,0.025085269865754323
12_shenyu,shenyu-loadbalancer,game engine,0.025085276407255663
12_shenyu,shenyu-loadbalancer,web application security,0.02531498994867043
12_shenyu,shenyu-loadbalancer,test automation,0.02547150163145151
12_shenyu,shenyu-loadbalancer,regular expression,0.025933637265637022
12_shenyu,shenyu-loadbalancer,command-line interface,0.02622465260193685
12_shenyu,shenyu-loadbalancer,search,0.027151757033772372
12_shenyu,shenyu-loadbalancer,distributed computing,0.027438202673897405
12_shenyu,shenyu-loadbalancer,web application,0.027842880771305034
12_shenyu,shenyu-loadbalancer,instant messaging,0.030053871124464115
12_shenyu,shenyu-loadbalancer,big data,0.0312148350315139
12_shenyu,shenyu-loadbalancer,client,0.03292844203834888
12_shenyu,shenyu-loadbalancer,middleware,0.033479908654452384
12_shenyu,shenyu-loadbalancer,content management system,0.03644952905185028
12_shenyu,shenyu-loadbalancer,graphical user interface,0.04324791465892219
12_shenyu,shenyu-loadbalancer,user interface,0.05086551780019721
