project_name,module,domain,diff_sim
12_shenyu,shenyu-plugin,distributed multimedia communications platform,0.0006450510011341004
12_shenyu,shenyu-plugin,stock market,0.0007897385531125956
12_shenyu,shenyu-plugin,distributed database,0.0009394622761141891
12_shenyu,shenyu-plugin,data compression,0.0013079444718764321
12_shenyu,shenyu-plugin,banking industry,0.002177051959074028
12_shenyu,shenyu-plugin,microservices,0.002934236556345504
12_shenyu,shenyu-plugin,distributed computing,0.0034209493966098625
12_shenyu,shenyu-plugin,big data,0.003938693546603811
12_shenyu,shenyu-plugin,cryptography,0.004554573347225976
12_shenyu,shenyu-plugin,encryption,0.004945596315215517
12_shenyu,shenyu-plugin,cluster analysis,0.005344562144438569
12_shenyu,shenyu-plugin,neural machine translation,0.006643289034036881
12_shenyu,shenyu-plugin,blockchain,0.006667842064335905
12_shenyu,shenyu-plugin,distributed system,0.00712469817241046
12_shenyu,shenyu-plugin,network analysis,0.007244941209710198
12_shenyu,shenyu-plugin,bitcoin,0.008349295973390625
12_shenyu,shenyu-plugin,hyperparameter optimization,0.008514648073968512
12_shenyu,shenyu-plugin,serialization,0.008859847441351154
12_shenyu,shenyu-plugin,cloud computing,0.008903272307607457
12_shenyu,shenyu-plugin,WebSocket,0.01053522872196433
12_shenyu,shenyu-plugin,HTTP server,0.010642038253118602
12_shenyu,shenyu-plugin,code generation,0.011137637599274886
12_shenyu,shenyu-plugin,telecommunications network,0.01188826713439961
12_shenyu,shenyu-plugin,cryptocurrency,0.011926505936184273
12_shenyu,shenyu-plugin,benchmark,0.012342840427047364
12_shenyu,shenyu-plugin,Malware Analysis,0.012543651689019386
12_shenyu,shenyu-plugin,HTTP client,0.013640490144154804
12_shenyu,shenyu-plugin,text classification,0.01380787243955639
12_shenyu,shenyu-plugin,data mining,0.013817086908597731
12_shenyu,shenyu-plugin,network monitoring,0.013983801940648743
12_shenyu,shenyu-plugin,stream processing,0.01407795816370283
12_shenyu,shenyu-plugin,File Transfer Protocol,0.01413381460984342
12_shenyu,shenyu-plugin,graph database,0.015049480696126105
12_shenyu,shenyu-plugin,computational science,0.01536253337652338
12_shenyu,shenyu-plugin,web service,0.015577499614462864
12_shenyu,shenyu-plugin,word embedding,0.015681850914563644
12_shenyu,shenyu-plugin,Image analysis,0.0162397743172622
12_shenyu,shenyu-plugin,streaming media,0.01627385359529754
12_shenyu,shenyu-plugin,data structure,0.01629283213299182
12_shenyu,shenyu-plugin,computer data storage,0.016471664901092198
12_shenyu,shenyu-plugin,translation,0.01659041387298077
12_shenyu,shenyu-plugin,graph algorithm,0.016600692328585964
12_shenyu,shenyu-plugin,text processing,0.01674197677851519
12_shenyu,shenyu-plugin,genetic algorithm,0.016868163199329822
12_shenyu,shenyu-plugin,digital security,0.016965003293538006
12_shenyu,shenyu-plugin,artificial neural network,0.017128072475071088
12_shenyu,shenyu-plugin,data analysis,0.01749311200807735
12_shenyu,shenyu-plugin,sentiment analysis,0.017814539533120177
12_shenyu,shenyu-plugin,continuous delivery,0.017947296856331008
12_shenyu,shenyu-plugin,penetration test,0.018014656769741122
12_shenyu,shenyu-plugin,physics,0.018169853817346815
12_shenyu,shenyu-plugin,audio signal processing,0.018359274232529366
12_shenyu,shenyu-plugin,digital audio,0.018773466748353007
12_shenyu,shenyu-plugin,digital image processing,0.018777775708395783
12_shenyu,shenyu-plugin,knowledge graph,0.019298205042045047
12_shenyu,shenyu-plugin,deep learning,0.019342380345918953
12_shenyu,shenyu-plugin,signal processing,0.019436797282000873
12_shenyu,shenyu-plugin,static program analysis,0.01962644414748327
12_shenyu,shenyu-plugin,long short-term memory,0.019651649714927943
12_shenyu,shenyu-plugin,smart contract,0.019677376971968252
12_shenyu,shenyu-plugin,server,0.019833023165899633
12_shenyu,shenyu-plugin,data,0.01986118750556165
12_shenyu,shenyu-plugin,support vector machine,0.020102230907049545
12_shenyu,shenyu-plugin,sorting algorithm,0.020532944499473404
12_shenyu,shenyu-plugin,Containerization,0.02086460896820741
12_shenyu,shenyu-plugin,embedded system,0.02098828954440546
12_shenyu,shenyu-plugin,information processing,0.02100584534343275
12_shenyu,shenyu-plugin,simulation,0.021059198528987633
12_shenyu,shenyu-plugin,web server,0.021201358856301922
12_shenyu,shenyu-plugin,backup,0.021321602764800884
12_shenyu,shenyu-plugin,analytics,0.021591575321818657
12_shenyu,shenyu-plugin,static program analysis tool,0.021626330803406035
12_shenyu,shenyu-plugin,statistics,0.021722598417731942
12_shenyu,shenyu-plugin,data science,0.021850460179022146
12_shenyu,shenyu-plugin,game server,0.02199048819033589
12_shenyu,shenyu-plugin,continuous integration,0.022020600663797962
12_shenyu,shenyu-plugin,time series,0.0222570160221085
12_shenyu,shenyu-plugin,linear regression,0.022865689842732406
12_shenyu,shenyu-plugin,algorithm,0.023157962117830944
12_shenyu,shenyu-plugin,optical character recognition,0.023159056578043846
12_shenyu,shenyu-plugin,instant messaging,0.023164556067954756
12_shenyu,shenyu-plugin,logging,0.023422146486539508
12_shenyu,shenyu-plugin,internet of things,0.023701144507227934
12_shenyu,shenyu-plugin,security,0.02393270751782417
12_shenyu,shenyu-plugin,unit testing,0.024270769375170365
12_shenyu,shenyu-plugin,language model,0.024712161681855527
12_shenyu,shenyu-plugin,object–relational mapping,0.024948552220086406
12_shenyu,shenyu-plugin,virtual machine,0.025423666849823
12_shenyu,shenyu-plugin,evolutionary algorithm,0.025570683713236564
12_shenyu,shenyu-plugin,pattern matching,0.0256429203941132
12_shenyu,shenyu-plugin,email,0.026572270182592783
12_shenyu,shenyu-plugin,software design pattern,0.026578293336863457
12_shenyu,shenyu-plugin,database,0.02676741125175841
12_shenyu,shenyu-plugin,file system,0.027886529714581165
12_shenyu,shenyu-plugin,integrated development environment,0.028018557951826395
12_shenyu,shenyu-plugin,router,0.02819311022683324
12_shenyu,shenyu-plugin,computer configuration,0.02836796580917267
12_shenyu,shenyu-plugin,Bayesian inference,0.028476277413398976
12_shenyu,shenyu-plugin,classification,0.028610888388924893
12_shenyu,shenyu-plugin,logistic regression model,0.028755934558833407
12_shenyu,shenyu-plugin,client,0.029195930554777205
12_shenyu,shenyu-plugin,middleware,0.02925508263548071
12_shenyu,shenyu-plugin,geographic information system,0.02989548343067827
12_shenyu,shenyu-plugin,random forest,0.030148093588722835
12_shenyu,shenyu-plugin,data binding,0.0305306200621569
12_shenyu,shenyu-plugin,syntax highlighting,0.030629180286725344
12_shenyu,shenyu-plugin,dependency injection,0.03089973814689262
12_shenyu,shenyu-plugin,Naive Bayes classifier,0.0309564032945282
12_shenyu,shenyu-plugin,search,0.031149496773803298
12_shenyu,shenyu-plugin,Semantic Web,0.031157988597381392
12_shenyu,shenyu-plugin,software development,0.031193344330288975
12_shenyu,shenyu-plugin,data visualization,0.031235219795981983
12_shenyu,shenyu-plugin,static site generator,0.031344889866896875
12_shenyu,shenyu-plugin,information extraction,0.031349576367112775
12_shenyu,shenyu-plugin,animation,0.031386596137999656
12_shenyu,shenyu-plugin,artificial intelligence,0.031560255477723786
12_shenyu,shenyu-plugin,operating system,0.03166428976850244
12_shenyu,shenyu-plugin,natural language processing,0.0318050980272272
12_shenyu,shenyu-plugin,question answering,0.03195023406143993
12_shenyu,shenyu-plugin,compiler,0.031972369031251224
12_shenyu,shenyu-plugin,functional programming,0.0323284721807755
12_shenyu,shenyu-plugin,anomaly detection,0.0325966519251093
12_shenyu,shenyu-plugin,natural language,0.03264126873280815
12_shenyu,shenyu-plugin,Q-learning,0.03308136882922352
12_shenyu,shenyu-plugin,search engine,0.033471197945157294
12_shenyu,shenyu-plugin,regular expression,0.0337653575496597
12_shenyu,shenyu-plugin,website,0.03403412471574163
12_shenyu,shenyu-plugin,3D modeling,0.03409679281931177
12_shenyu,shenyu-plugin,command-line interface,0.034110759468011675
12_shenyu,shenyu-plugin,shell tool,0.03413212339979588
12_shenyu,shenyu-plugin,debugger,0.034197858664917535
12_shenyu,shenyu-plugin,web application security,0.034719462068016016
12_shenyu,shenyu-plugin,authentication,0.034950877759945986
12_shenyu,shenyu-plugin,World Wide Web,0.035040706117865916
12_shenyu,shenyu-plugin,game engine,0.03578971824418653
12_shenyu,shenyu-plugin,web browser engine,0.036012026050302404
12_shenyu,shenyu-plugin,routing,0.03618435027033695
12_shenyu,shenyu-plugin,package management system,0.03628953696372017
12_shenyu,shenyu-plugin,password manager,0.036845902932844954
