project_name,module,domain,diff_sim
01_dubbo,dubbo-plugin,email,0.012232508749999982
01_dubbo,dubbo-plugin,cryptography,0.013465979624999999
01_dubbo,dubbo-plugin,logging,0.031154976249999966
01_dubbo,dubbo-plugin,security,0.034031333750000003
01_dubbo,dubbo-plugin,image,0.043377041000000005
01_dubbo,dubbo-plugin,search,0.044263364500000096
01_dubbo,dubbo-plugin,scheduler,0.04467098
01_dubbo,dubbo-plugin,database,0.0477813887500001
01_dubbo,dubbo-plugin,authentication,0.04857887999999999
01_dubbo,dubbo-plugin,server,0.06568787999999987
01_dubbo,dubbo-plugin,translation,0.07170423212499999
01_dubbo,dubbo-plugin,cryptocurrency,0.07940207625
01_dubbo,dubbo-plugin,encryption,0.08517391024999989
01_dubbo,dubbo-plugin,blockchain,0.103473201875
01_dubbo,dubbo-plugin,microservices,0.10644863100000007
01_dubbo,dubbo-plugin,interpreter,0.11524488737500001
01_dubbo,dubbo-plugin,documentation,0.1167236272499999
01_dubbo,dubbo-plugin,client,0.12809276125000008
01_dubbo,dubbo-plugin,analytics,0.12864743437499998
01_dubbo,dubbo-plugin,compiler,0.1371960931875
01_dubbo,dubbo-plugin,backup,0.15323480664999997
01_dubbo,dubbo-plugin,router,0.16078280125
01_dubbo,dubbo-plugin,validator,0.16932178775000012
01_dubbo,dubbo-plugin,synchronization,0.17940090737499997
01_dubbo,dubbo-plugin,automation,0.1858663330000001
01_dubbo,dubbo-plugin,middleware,0.20191068500000003
01_dubbo,dubbo-plugin,serialization,0.20220300072
01_dubbo,dubbo-plugin,data,0.24693283812499991
01_dubbo,dubbo-plugin,website,0.292714210625
