project_name,module,domain,diff_sim
12_shenyu,shenyu-client,bitcoin,0.006158308333333279
12_shenyu,shenyu-client,middleware,0.006374518333333301
12_shenyu,shenyu-client,database,0.01247834333333342
12_shenyu,shenyu-client,data,0.014502555000000028
12_shenyu,shenyu-client,compiler,0.015316597500000001
12_shenyu,shenyu-client,authentication,0.01618023083333342
12_shenyu,shenyu-client,router,0.019966883333333296
12_shenyu,shenyu-client,security,0.0238062275
12_shenyu,shenyu-client,validator,0.027602250833333397
12_shenyu,shenyu-client,backup,0.03027709749999999
12_shenyu,shenyu-client,analytics,0.051276719
12_shenyu,shenyu-client,logging,0.054222212500000005
12_shenyu,shenyu-client,blockchain,0.058326820833333404
12_shenyu,shenyu-client,translation,0.07103536116666671
12_shenyu,shenyu-client,microservices,0.0823824071666668
12_shenyu,shenyu-client,malware,0.08900065695
12_shenyu,shenyu-client,serialization,0.10523623666666661
12_shenyu,shenyu-client,website,0.12582590550000003
12_shenyu,shenyu-client,client,0.14892563083333332
12_shenyu,shenyu-client,server,0.16335579249999993
